Second Doses Administered,First Doses Administered,Total Doses Administered,County
157,1910,2067,Alleghany 
1439,3813,5252,Bladen 
8964,23786,32750,Buncombe 
4379,9959,14338,Caldwell 
1042,4170,5212,Columbus 
1045,7624,8669,Dare 
5940,13327,19267,Davidson 
668,4359,5027,Duplin 
709,4145,4854,Edgecombe 
17277,39573,56850,Forsyth 
5893,18194,24087,Gaston 
390,2478,2868,Greene 
1175,4703,5878,Halifax 
404,2635,3039,Hertford 
232,941,1173,Hyde 
4951,16464,21415,Johnston 
2104,6314,8418,Lenoir 
2111,7269,9380,Lincoln 
6809,27460,34269,Missing 
237,1429,1666,Mitchell 
12427,27126,39553,New Hanover
421,2106,2527,Northampton 
3591,11063,14654,Onslow 
9648,21680,31328,Orange 
214,2731,2945,Perquimans 
6835,22208,29043,Pitt 
1444,6732,8176,Rockingham 
2844,9638,12482,Rowan 
2001,5283,7284,Rutherford 
1139,6035,7174,Stanly 
278,1473,1751,Swain 
30120,100340,130460,Wake 
329,1957,2286,Warren 
1736,7389,9125,Wilson 
1347,3507,4854,Alexander 
329,2414,2743,Anson 
474,2658,3132,Avery 
2945,10345,13290,Burke 
6673,16193,22866,Catawba 
3502,11580,15082,Chatham 
808,3427,4235,Chowan 
3438,10693,14131,Craven 
2624,6007,8631,Davie 
15250,38452,53702,Durham 
2263,5945,8208,Lee 
341,3108,3449,Macon 
580,2522,3102,Madison 
539,2495,3034,Montgomery 
1810,5665,7475,Pender 
372,2186,2558,Polk 
945,4366,5311,Stokes 
424,3049,3473,Transylvania 
85,520,605,Tyrrell 
7143,17686,24829,Union 
1879,3954,5833,Yadkin 
5813,14686,20499,Alamance 
3435,8616,12051,Carteret 
658,2567,3225,Cherokee 
1878,8723,10601,Cleveland 
1081,4644,5725,Currituck 
2269,6121,8390,Franklin 
214,1091,1305,Graham 
3055,6675,9730,Granville 
3107,9966,13073,Harnett 
1359,7229,8588,Haywood 
1098,3258,4356,Hoke 
5291,15544,20835,Iredell 
446,3075,3521,Jackson 
407,2784,3191,Martin 
841,5121,5962,Mcdowell 
26335,80010,106345,Mecklenburg 
5507,14082,19589,Moore 
2660,8406,11066,Nash 
567,1998,2565,Pamlico 
2677,7746,10423,Pasquotank 
1011,4444,5455,Person 
882,5171,6053,Richmond 
4308,10551,14859,Robeson 
1321,6708,8029,Sampson 
379,3604,3983,Scotland 
3357,8307,11664,Surry 
452,2159,2611,Yancey 
575,2587,3162,Ashe 
1088,6455,7543,Beaufort 
529,3726,4255,Bertie 
4286,17893,22179,Brunswick 
6385,16370,22755,Cabarrus 
630,1679,2309,Camden 
594,2366,2960,Caswell 
136,1082,1218,Clay 
12973,26172,39145,Cumberland 
560,1885,2445,Gates 
14438,44067,58505,Guilford 
3602,12272,15874,Henderson 
294,1001,1295,Jones 
4178,9587,13765,Randolph 
1370,5044,6414,Vance 
209,1630,1839,Washington 
2360,6093,8453,Watauga 
2229,8080,10309,Wayne 
1833,6204,8037,Wilkes 
