Second Doses Administered,First Doses Administered,Total Doses Administered,County
862,2857,3719,Ashe 
1436,7571,9007,Beaufort 
597,3777,4374,Bertie 
5660,22102,27762,Brunswick 
8306,16933,25239,Cabarrus 
698,1740,2438,Camden 
995,2731,3726,Caswell 
246,1202,1448,Clay 
17316,27529,44845,Cumberland 
652,1967,2619,Gates 
22438,47487,69925,Guilford 
5420,13689,19109,Henderson 
397,1185,1582,Jones 
4875,10956,15831,Randolph 
1725,5586,7311,Vance 
447,1771,2218,Washington 
3056,6518,9574,Watauga 
3509,9234,12743,Wayne 
1959,6721,8680,Wilkes 
1573,3771,5344,Alexander 
534,2669,3203,Anson 
1017,2843,3860,Avery 
5320,11334,16654,Burke 
9037,17121,26158,Catawba 
4788,12871,17659,Chatham 
940,3496,4436,Chowan 
4483,11655,16138,Craven 
3454,6175,9629,Davie 
19044,41277,60321,Durham 
2573,6585,9158,Lee 
738,3532,4270,Macon 
939,2955,3894,Madison 
829,3082,3911,Montgomery 
2243,6543,8786,Pender 
810,2405,3215,Polk 
1436,4587,6023,Stokes 
860,3525,4385,Transylvania 
194,585,779,Tyrrell 
8797,19073,27870,Union 
2672,4332,7004,Yadkin 
525,2018,2543,Alleghany 
2302,4263,6565,Bladen 
11029,26291,37320,Buncombe 
6094,10323,16417,Caldwell 
1454,4811,6265,Columbus 
1593,7934,9527,Dare 
7636,14272,21908,Davidson 
1629,5023,6652,Duplin 
1230,4729,5959,Edgecombe 
21331,42267,63598,Forsyth 
8880,19968,28848,Gaston 
582,2609,3191,Greene 
1666,5963,7629,Halifax 
924,3297,4221,Hertford 
360,1003,1363,Hyde 
7439,18989,26428,Johnston 
2753,7100,9853,Lenoir 
2975,7965,10940,Lincoln 
9885,29503,39388,Missing 
608,1581,2189,Mitchell 
14574,30991,45565,New Hanover
649,2561,3210,Northampton 
4810,12401,17211,Onslow 
11636,23480,35116,Orange 
910,2856,3766,Perquimans 
8642,23399,32041,Pitt 
2366,7986,10352,Rockingham 
4563,11291,15854,Rowan 
2134,5587,7721,Rutherford 
1550,6513,8063,Stanly 
358,1794,2152,Swain 
41206,110782,151988,Wake 
390,2414,2804,Warren 
4042,8512,12554,Wilson 
7451,16875,24326,Alamance 
3977,9479,13456,Carteret 
1066,3084,4150,Cherokee 
2467,9627,12094,Cleveland 
1548,4695,6243,Currituck 
2759,6832,9591,Franklin 
374,1183,1557,Graham 
3765,7612,11377,Granville 
4732,10572,15304,Harnett 
3835,8277,12112,Haywood 
1509,3467,4976,Hoke 
6958,16321,23279,Iredell 
886,4344,5230,Jackson 
669,3031,3700,Martin 
1317,5924,7241,Mcdowell 
35801,84713,120514,Mecklenburg 
6912,15886,22798,Moore 
3540,9711,13251,Nash 
772,2345,3117,Pamlico 
3017,8272,11289,Pasquotank 
2340,4681,7021,Person 
1349,5736,7085,Richmond 
5732,11215,16947,Robeson 
2220,7317,9537,Sampson 
625,4438,5063,Scotland 
3635,9219,12854,Surry 
716,2316,3032,Yancey 
