Second Doses Administered,First Doses Administered,Total Doses Administered,County
9147,17182,26329,Catawba 
5656,11924,17580,Craven 
21073,42139,63212,Durham 
2603,6649,9252,Lee 
2421,6627,9048,Pender 
10019,19202,29221,Union 
1711,4109,5820,Alexander 
3004,4350,7354,Yadkin 
5364,11342,16706,Burke 
3486,6248,9734,Davie 
1460,4620,6080,Stokes 
5296,13029,18325,Chatham 
1020,2843,3863,Avery 
943,2956,3899,Madison 
825,2424,3249,Polk 
1059,3639,4698,Transylvania 
990,4137,5127,Macon 
852,3090,3942,Montgomery 
564,2671,3235,Anson 
940,3500,4440,Chowan 
200,585,785,Tyrrell 
5091,10776,15867,Harnett 
7235,15902,23137,Moore 
4194,9498,13692,Carteret 
3664,9237,12901,Surry 
41328,86120,127448,Mecklenburg 
1510,3471,4981,Hoke 
3858,8283,12141,Haywood 
5986,11217,17203,Robeson 
2253,7376,9629,Sampson 
2696,9665,12361,Cleveland 
7982,17610,25592,Alamance 
8231,16940,25171,Iredell 
3870,7724,11594,Granville 
2806,6908,9714,Franklin 
1073,4627,5700,Jackson 
3020,8386,11406,Pasquotank 
1586,4707,6293,Currituck 
3629,9790,13419,Nash 
843,2352,3195,Pamlico 
2434,4729,7163,Person 
676,3053,3729,Martin 
633,4438,5071,Scotland 
1584,6046,7630,Mcdowell 
1349,5738,7087,Richmond 
1205,3088,4293,Cherokee 
375,1183,1558,Graham 
719,2316,3035,Yancey 
17338,27553,44891,Cumberland 
9529,17593,27122,Cabarrus 
6641,22780,29421,Brunswick 
23552,50018,73570,Guilford 
4936,11117,16053,Randolph 
2670,7211,9881,Wilkes 
3696,9421,13117,Wayne 
6154,13807,19961,Henderson 
3067,6525,9592,Watauga 
873,2886,3759,Ashe 
1463,7594,9057,Beaufort 
698,1752,2450,Camden 
448,1774,2222,Washington 
1013,2740,3753,Caswell 
1933,5612,7545,Vance 
248,1206,1454,Clay 
448,1187,1635,Jones 
597,3778,4375,Bertie 
652,1968,2620,Gates 
7618,19874,27492,Johnston 
4058,8626,12684,Wilson 
45256,113374,158630,Wake 
5071,12579,17650,Onslow 
8865,23454,32319,Pitt 
16881,31211,48092,New Hanover
12685,24057,36742,Orange 
22028,43050,65078,Forsyth 
7942,14597,22539,Davidson 
2778,7120,9898,Lenoir 
12082,30187,42269,Missing 
431,2443,2874,Warren 
11340,26393,37733,Buncombe 
2179,5600,7779,Rutherford 
9346,20185,29531,Gaston 
4889,11929,16818,Rowan 
1682,5969,7651,Halifax 
2496,8226,10722,Rockingham 
1761,6530,8291,Stanly 
926,3299,4225,Hertford 
3421,8017,11438,Lincoln 
6101,10337,16438,Caldwell 
2326,4269,6595,Bladen 
2690,7941,10631,Dare 
1663,5036,6699,Duplin 
1510,4821,6331,Columbus 
1237,4749,5986,Edgecombe 
530,2019,2549,Alleghany 
363,1003,1366,Hyde 
585,2610,3195,Greene 
910,2873,3783,Perquimans 
358,1795,2153,Swain 
608,1585,2193,Mitchell 
667,2597,3264,Northampton 
