Second Doses Administered,First Doses Administered,Total Doses Administered,County
7543,12128,19671,Robeson
1266,2892,4158,Perquimans
10333,21300,31633,Johnston
6419,11402,17821,Randolph
539,1088,1627,Hyde
849,2046,2895,Alleghany
2081,5177,7258,Duplin
1051,1982,3033,Gates
4919,8949,13868,Haywood
2697,6950,9647,Stanly
15274,32188,47462,Missing
4667,9272,13939,Wilson
233,607,840,Tyrrell
5230,10235,15465,Wayne
1248,3135,4383,Montgomery
3422,7657,11079,Lenoir
1331,4721,6052,Scotland
9955,19547,29502,Alamance
916,1839,2755,Camden
871,2654,3525,Greene
6650,13442,20092,Rowan
973,2678,3651,Northampton
3076,7347,10423,Wilkes
4377,8423,12800,Lincoln
7600,11078,18678,Caldwell
1317,2560,3877,Polk
4957,9387,14344,Surry
2015,4236,6251,Macon
594,1215,1809,Clay
3157,4437,7594,Yadkin
7305,13127,20432,Onslow
2407,6266,8673,Richmond
15468,28852,44320,Buncombe
12048,20653,32701,Union
11357,18713,30070,Cabarrus
610,1873,2483,Washington
6607,12040,18647,Harnett
6974,11504,18478,Burke
4625,8131,12756,Granville
12904,21119,34023,Gaston
1666,5095,6761,Edgecombe
3989,6807,10796,Watauga
1986,3962,5948,Hoke
1259,3994,5253,Bertie
2785,4981,7766,Person
2759,8329,11088,Beaufort
12140,18567,30707,Catawba
2012,4711,6723,Jackson
61632,125108,186740,Wake
4011,10673,14684,Cleveland
3291,7777,11068,Sampson
2532,5346,7878,Columbus
1464,2914,4378,Caswell
990,2400,3390,Yancey
3945,6942,10887,Lee
1039,3424,4463,Hertford
2971,8812,11783,Rockingham
48532,93553,142085,Mecklenburg
5117,9625,14742,Carteret
608,1805,2413,Swain
1864,2880,4744,Avery
2739,5800,8539,Vance
2489,6317,8806,Halifax
2449,5991,8440,Rutherford
4595,10376,14971,Nash
1322,2986,4308,Ashe
1860,4796,6656,Stokes
584,1299,1883,Graham
3332,7097,10429,Pender
7463,12730,20193,Craven
27863,52567,80430,Guilford
1599,3261,4860,Madison
7245,13868,21113,Chatham
15017,23979,38996,Pitt
9742,16827,26569,Moore
25725,44830,70555,Forsyth
10040,18208,28248,Iredell
1797,3845,5642,Transylvania
1160,3329,4489,Martin
651,2561,3212,Warren
695,1302,1997,Jones
4373,6484,10857,Davie
20914,32060,52974,Cumberland
2383,6366,8749,Mcdowell
1804,3193,4997,Cherokee
1614,3592,5206,Chowan
15506,25980,41486,Orange
2377,4373,6750,Alexander
26208,44928,71136,Durham
8433,14504,22937,Henderson
4592,8597,13189,Pasquotank
1052,2652,3704,Pamlico
709,1603,2312,Mitchell
1705,4872,6577,Currituck
10680,24858,35538,Brunswick
9880,15294,25174,Davidson
3757,7238,10995,Franklin
4628,8240,12868,Dare
2829,4631,7460,Bladen
21643,33374,55017,New Hanover
1004,2927,3931,Anson
