Second Doses Administered,First Doses Administered,Total Doses Administered,County
7628,12147,19775,Robeson
1285,2892,4177,Perquimans
11727,21483,33210,Johnston
6526,11416,17942,Randolph
544,1088,1632,Hyde
888,2047,2935,Alleghany
2114,5192,7306,Duplin
1054,1983,3037,Gates
4942,8962,13904,Haywood
2833,6973,9806,Stanly
16124,32516,48640,Missing
5086,9309,14395,Wilson
239,607,846,Tyrrell
5268,10259,15527,Wayne
1264,3137,4401,Montgomery
3446,7670,11116,Lenoir
1389,4727,6116,Scotland
10179,19754,29933,Alamance
917,1841,2758,Camden
894,2658,3552,Greene
6852,13496,20348,Rowan
997,2683,3680,Northampton
3955,7531,11486,Wilkes
4647,8497,13144,Lincoln
7870,11240,19110,Caldwell
1571,2565,4136,Polk
5325,9534,14859,Surry
2034,4244,6278,Macon
604,1215,1819,Clay
3187,4453,7640,Yadkin
7333,13130,20463,Onslow
2412,6267,8679,Richmond
15548,29539,45087,Buncombe
13033,20991,34024,Union
12337,18882,31219,Cabarrus
628,1880,2508,Washington
6790,12090,18880,Harnett
7327,11570,18897,Burke
4777,8187,12964,Granville
13094,21224,34318,Gaston
1681,5119,6800,Edgecombe
4012,6823,10835,Watauga
2017,3980,5997,Hoke
1276,3994,5270,Bertie
2819,5009,7828,Person
2906,8359,11265,Beaufort
12265,18638,30903,Catawba
2263,4734,6997,Jackson
65065,128763,193828,Wake
4196,11008,15204,Cleveland
3332,7799,11131,Sampson
2564,5354,7918,Columbus
1473,2921,4394,Caswell
1045,2401,3446,Yancey
3972,6956,10928,Lee
1047,3425,4472,Hertford
3002,8836,11838,Rockingham
51035,94736,145771,Mecklenburg
5460,9643,15103,Carteret
614,1807,2421,Swain
1864,2880,4744,Avery
2915,5879,8794,Vance
2587,6324,8911,Halifax
2491,6046,8537,Rutherford
4665,10416,15081,Nash
1629,3004,4633,Ashe
2065,4815,6880,Stokes
592,1301,1893,Graham
3415,7137,10552,Pender
7480,12772,20252,Craven
28101,52867,80968,Guilford
1606,3268,4874,Madison
7789,13921,21710,Chatham
15808,24126,39934,Pitt
10394,16978,27372,Moore
26570,45164,71734,Forsyth
11339,18605,29944,Iredell
1851,3849,5700,Transylvania
1387,3341,4728,Martin
680,2577,3257,Warren
695,1302,1997,Jones
4466,6496,10962,Davie
21017,32256,53273,Cumberland
2802,6379,9181,Mcdowell
1809,3199,5008,Cherokee
1756,3593,5349,Chowan
16588,26138,42726,Orange
2606,4414,7020,Alexander
28043,45684,73727,Durham
8485,14550,23035,Henderson
4597,8597,13194,Pasquotank
1148,2662,3810,Pamlico
729,1608,2337,Mitchell
1718,4872,6590,Currituck
11656,25005,36661,Brunswick
10151,15543,25694,Davidson
3805,7305,11110,Franklin
4831,8248,13079,Dare
2862,4636,7498,Bladen
22469,33730,56199,New Hanover
1035,2952,3987,Anson
