Second Doses Administered,First Doses Administered,Total Doses Administered,County
8031,12347,20378,Robeson
1313,2894,4207,Perquimans
12642,21685,34327,Johnston
7143,11872,19015,Randolph
582,1096,1678,Hyde
1195,2054,3249,Alleghany
2253,5222,7475,Duplin
1071,1984,3055,Gates
5145,9003,14148,Haywood
3475,7023,10498,Stanly
17537,33239,50776,Missing
5488,9347,14835,Wilson
280,613,893,Tyrrell
5396,10419,15815,Wayne
1297,3144,4441,Montgomery
4222,7759,11981,Lenoir
1586,4760,6346,Scotland
11076,20978,32054,Alamance
1000,1923,2923,Camden
997,2673,3670,Greene
7106,13640,20746,Rowan
1164,2799,3963,Northampton
4366,7622,11988,Wilkes
5689,8755,14444,Lincoln
8542,11349,19891,Caldwell
1731,2574,4305,Polk
5553,9644,15197,Surry
2232,4629,6861,Macon
735,1220,1955,Clay
3267,4513,7780,Yadkin
7892,13151,21043,Onslow
2861,6316,9177,Richmond
17896,31381,49277,Buncombe
13568,21454,35022,Union
12974,19497,32471,Cabarrus
695,1893,2588,Washington
7450,12448,19898,Harnett
7544,11617,19161,Burke
5211,8245,13456,Granville
13888,21443,35331,Gaston
2033,5157,7190,Edgecombe
4541,6918,11459,Watauga
2145,4080,6225,Hoke
1611,4147,5758,Bertie
2974,5078,8052,Person
3495,8518,12013,Beaufort
13662,18960,32622,Catawba
2275,4760,7035,Jackson
72864,133661,206525,Wake
5377,11255,16632,Cleveland
3848,7874,11722,Sampson
2840,5545,8385,Columbus
1525,3031,4556,Caswell
1601,2415,4016,Yancey
4100,7727,11827,Lee
1578,3646,5224,Hertford
3713,9182,12895,Rockingham
55020,97962,152982,Mecklenburg
6865,9669,16534,Carteret
770,1808,2578,Swain
2063,2886,4949,Avery
3773,5971,9744,Vance
2773,6585,9358,Halifax
3637,6303,9940,Rutherford
5345,10715,16060,Nash
1948,3073,5021,Ashe
2762,4910,7672,Stokes
615,1325,1940,Graham
3887,7307,11194,Pender
7668,12899,20567,Craven
29777,58381,88158,Guilford
1784,3280,5064,Madison
8786,14256,23042,Chatham
17769,24245,42014,Pitt
10814,17412,28226,Moore
29233,46946,76179,Forsyth
11799,19260,31059,Iredell
2276,3897,6173,Transylvania
1593,3390,4983,Martin
857,2689,3546,Warren
700,1307,2007,Jones
4677,6567,11244,Davie
22001,32928,54929,Cumberland
3202,6388,9590,Mcdowell
1936,3209,5145,Cherokee
1911,3594,5505,Chowan
17911,26716,44627,Orange
2860,4480,7340,Alexander
31243,47164,78407,Durham
9387,14661,24048,Henderson
4711,8695,13406,Pasquotank
1236,2709,3945,Pamlico
807,1610,2417,Mitchell
2122,4881,7003,Currituck
13489,25817,39306,Brunswick
10762,16002,26764,Davidson
4253,7380,11633,Franklin
5267,8260,13527,Dare
2992,4758,7750,Bladen
24002,34911,58913,New Hanover
1285,3037,4322,Anson
