Second Doses Administered,First Doses Administered,Total Doses Administered,County
8350,13938,22288,Robeson
1357,2951,4308,Perquimans
13831,25309,39140,Johnston
7894,14079,21973,Randolph
734,1176,1910,Hyde
1529,2153,3682,Alleghany
2900,6405,9305,Duplin
1088,2014,3102,Gates
6038,9892,15930,Haywood
3979,7668,11647,Stanly
20706,37483,58189,Missing
5966,10849,16815,Wilson
407,652,1059,Tyrrell
6243,12450,18693,Wayne
1890,3546,5436,Montgomery
4858,8781,13639,Lenoir
2442,5448,7890,Scotland
12439,24143,36582,Alamance
1019,1942,2961,Camden
1566,2906,4472,Greene
8265,15231,23496,Rowan
1363,3593,4956,Northampton
4986,9319,14305,Wilkes
6290,10153,16443,Lincoln
9182,12467,21649,Caldwell
1879,3121,5000,Polk
7058,11630,18688,Surry
2533,6385,8918,Macon
894,1463,2357,Clay
3447,5403,8850,Yadkin
8986,16219,25205,Onslow
3506,6944,10450,Richmond
20759,35762,56521,Buncombe
15052,27194,42246,Union
14111,21446,35557,Cabarrus
1110,2079,3189,Washington
8378,13919,22297,Harnett
8210,13670,21880,Burke
5620,9500,15120,Granville
15353,25914,41267,Gaston
2682,6094,8776,Edgecombe
5042,9129,14171,Watauga
2447,4499,6946,Hoke
1931,4264,6195,Bertie
3561,5759,9320,Person
4224,9424,13648,Beaufort
14563,22041,36604,Catawba
2489,6119,8608,Jackson
84108,153055,237163,Wake
6623,13095,19718,Cleveland
5242,8716,13958,Sampson
3298,6272,9570,Columbus
1801,3668,5469,Caswell
1830,2728,4558,Yancey
4668,8651,13319,Lee
1660,3998,5658,Hertford
4587,11232,15819,Rockingham
66308,108739,175047,Mecklenburg
7257,11113,18370,Carteret
966,2183,3149,Swain
2344,3230,5574,Avery
4273,6694,10967,Vance
3232,8135,11367,Halifax
4306,7864,12170,Rutherford
5990,12999,18989,Nash
2107,4414,6521,Ashe
3279,5388,8667,Stokes
839,1604,2443,Graham
4492,8020,12512,Pender
8821,14220,23041,Craven
36081,67012,103093,Guilford
2028,3667,5695,Madison
9907,15517,25424,Chatham
19605,26777,46382,Pitt
11582,20717,32299,Moore
33282,51702,84984,Forsyth
13013,22273,35286,Iredell
2560,5370,7930,Transylvania
1948,3593,5541,Martin
1010,3261,4271,Warren
752,1507,2259,Jones
5284,7098,12382,Davie
23882,36533,60415,Cumberland
3860,7387,11247,Mcdowell
2084,4085,6169,Cherokee
2083,3755,5838,Chowan
19678,29398,49076,Orange
3138,5114,8252,Alexander
34972,52335,87307,Durham
10852,17307,28159,Henderson
4784,8992,13776,Pasquotank
1345,2946,4291,Pamlico
1249,1750,2999,Mitchell
3081,4957,8038,Currituck
15334,28601,43935,Brunswick
12197,18865,31062,Davidson
5016,7985,13001,Franklin
6491,8868,15359,Dare
3231,5354,8585,Bladen
25689,38596,64285,New Hanover
1646,3490,5136,Anson
