Second Doses Administered,First Doses Administered,Total Doses Administered,County
8385,14220,22605,Robeson
1359,2954,4313,Perquimans
13938,25813,39751,Johnston
7986,15196,23182,Randolph
757,1239,1996,Hyde
1655,2225,3880,Alleghany
2962,6513,9475,Duplin
1088,2015,3103,Gates
6031,9943,15974,Haywood
4010,8051,12061,Stanly
21607,38582,60189,Missing
6187,10976,17163,Wilson
441,670,1111,Tyrrell
6327,13098,19425,Wayne
1902,4045,5947,Montgomery
5167,8834,14001,Lenoir
2468,5482,7950,Scotland
12679,24623,37302,Alamance
1023,1944,2967,Camden
1599,2916,4515,Greene
8374,15583,23957,Rowan
1414,3659,5073,Northampton
5002,9448,14450,Wilkes
6466,10666,17132,Lincoln
9229,12603,21832,Caldwell
1886,3463,5349,Polk
7077,11692,18769,Surry
2539,7015,9554,Macon
930,1563,2493,Clay
3481,5439,8920,Yadkin
9003,16844,25847,Onslow
3518,7117,10635,Richmond
21367,36657,58024,Buncombe
15446,27805,43251,Union
14366,22043,36409,Cabarrus
1222,2122,3344,Washington
8627,14055,22682,Harnett
8333,13945,22278,Burke
5664,9564,15228,Granville
15783,26840,42623,Gaston
2875,6262,9137,Edgecombe
5247,9168,14415,Watauga
2517,4563,7080,Hoke
1943,4298,6241,Bertie
3738,5931,9669,Person
4585,9620,14205,Beaufort
14692,22631,37323,Catawba
2494,6286,8780,Jackson
86491,155390,241881,Wake
7037,13444,20481,Cleveland
5449,8764,14213,Sampson
3321,6365,9686,Columbus
1842,3828,5670,Caswell
1831,2883,4714,Yancey
4693,8697,13390,Lee
1663,4009,5672,Hertford
4677,11542,16219,Rockingham
69400,111975,181375,Mecklenburg
7546,11245,18791,Carteret
967,2226,3193,Swain
2355,3249,5604,Avery
4316,6770,11086,Vance
3358,8210,11568,Halifax
4329,8256,12585,Rutherford
6238,13400,19638,Nash
2159,4455,6614,Ashe
3346,5537,8883,Stokes
857,1663,2520,Graham
4536,8107,12643,Pender
8948,14314,23262,Craven
37747,68454,106201,Guilford
2109,3696,5805,Madison
10168,15960,26128,Chatham
20279,26899,47178,Pitt
11621,21297,32918,Moore
34321,52671,86992,Forsyth
13393,23045,36438,Iredell
2565,5387,7952,Transylvania
2040,3629,5669,Martin
1128,3329,4457,Warren
759,1530,2289,Jones
5333,7240,12573,Davie
23924,36623,60547,Cumberland
4003,7403,11406,Mcdowell
2085,4336,6421,Cherokee
2087,3756,5843,Chowan
19927,29794,49721,Orange
3199,5141,8340,Alexander
35748,53391,89139,Durham
10888,17886,28774,Henderson
4799,9015,13814,Pasquotank
1464,3053,4517,Pamlico
1250,1981,3231,Mitchell
3277,4964,8241,Currituck
15601,29458,45059,Brunswick
12474,18986,31460,Davidson
5102,8386,13488,Franklin
6541,8880,15421,Dare
3278,5405,8683,Bladen
26063,39107,65170,New Hanover
1760,3546,5306,Anson
