Second Doses Administered,First Doses Administered,Total Doses Administered,County
8702,15146,23848,Robeson
1386,2959,4345,Perquimans
14452,27415,41867,Johnston
8884,15705,24589,Randolph
828,1367,2195,Hyde
1704,2247,3951,Alleghany
3198,6646,9844,Duplin
1140,2036,3176,Gates
7125,10266,17391,Haywood
4350,8418,12768,Stanly
24051,40497,64548,Missing
6484,11860,18344,Wilson
476,684,1160,Tyrrell
6950,14283,21233,Wayne
1952,4168,6120,Montgomery
5723,9345,15068,Lenoir
2686,5578,8264,Scotland
13869,25369,39238,Alamance
1060,1990,3050,Camden
1930,2964,4894,Greene
9491,15743,25234,Rowan
1603,3808,5411,Northampton
5050,9539,14589,Wilkes
6889,10976,17865,Lincoln
9340,13021,22361,Caldwell
2090,3496,5586,Polk
7886,11779,19665,Surry
2678,7054,9732,Macon
996,1724,2720,Clay
3523,5486,9009,Yadkin
9061,16963,26024,Onslow
3919,7678,11597,Richmond
22559,37204,59763,Buncombe
16548,28742,45290,Union
14909,22554,37463,Cabarrus
1329,2163,3492,Washington
8976,14587,23563,Harnett
9241,14124,23365,Burke
5802,10226,16028,Granville
17316,27844,45160,Gaston
3264,6437,9701,Edgecombe
5434,9513,14947,Watauga
2725,4773,7498,Hoke
2253,4341,6594,Bertie
3853,6164,10017,Person
5219,10068,15287,Beaufort
14870,23897,38767,Catawba
2514,6519,9033,Jackson
91377,163650,255027,Wake
7894,14115,22009,Cleveland
5829,9339,15168,Sampson
3621,6746,10367,Columbus
2155,4118,6273,Caswell
1836,3169,5005,Yancey
5969,9428,15397,Lee
1701,4020,5721,Hertford
4976,12108,17084,Rockingham
76072,116296,192368,Mecklenburg
7767,12193,19960,Carteret
1078,2234,3312,Swain
2379,3279,5658,Avery
4394,7091,11485,Vance
3563,8785,12348,Halifax
4578,8504,13082,Rutherford
6633,14167,20800,Nash
2325,4612,6937,Ashe
3876,5712,9588,Stokes
906,1673,2579,Graham
4978,8672,13650,Pender
9328,15569,24897,Craven
41347,69737,111084,Guilford
2152,3833,5985,Madison
10611,16345,26956,Chatham
21527,27261,48788,Pitt
12700,22818,35518,Moore
36408,54632,91040,Forsyth
14237,23237,37474,Iredell
2649,5402,8051,Transylvania
2276,3728,6004,Martin
1293,3604,4897,Warren
923,1572,2495,Jones
5507,7431,12938,Davie
25136,38551,63687,Cumberland
4166,7409,11575,Mcdowell
2251,4485,6736,Cherokee
2187,3769,5956,Chowan
20491,30885,51376,Orange
3215,5479,8694,Alexander
37001,55646,92647,Durham
11223,18001,29224,Henderson
6032,9137,15169,Pasquotank
1705,3113,4818,Pamlico
1270,2082,3352,Mitchell
3309,5004,8313,Currituck
17172,30829,48001,Brunswick
12706,19527,32233,Davidson
5250,9083,14333,Franklin
6571,9586,16157,Dare
3521,5685,9206,Bladen
26917,40629,67546,New Hanover
2020,3625,5645,Anson
