Second Doses Administered,First Doses Administered,Total Doses Administered,County
9608,15841,25449,Robeson
1408,3072,4480,Perquimans
15693,28918,44611,Johnston
9325,17342,26667,Randolph
861,1426,2287,Hyde
1737,2341,4078,Alleghany
3810,6739,10549,Duplin
1166,2184,3350,Gates
7257,10970,18227,Haywood
4635,8652,13287,Stanly
25017,42367,67384,Missing
6672,12703,19375,Wilson
503,704,1207,Tyrrell
7358,15878,23236,Wayne
2392,4502,6894,Montgomery
6044,9876,15920,Lenoir
3226,5965,9191,Scotland
15161,26843,42004,Alamance
1078,2081,3159,Camden
2399,3121,5520,Greene
9929,16490,26419,Rowan
1906,4052,5958,Northampton
5251,10175,15426,Wilkes
7024,11442,18466,Lincoln
9547,13446,22993,Caldwell
2223,3732,5955,Polk
8174,12628,20802,Surry
3004,7748,10752,Macon
1060,1828,2888,Clay
3877,6041,9918,Yadkin
10237,18203,28440,Onslow
4341,7740,12081,Richmond
23365,40775,64140,Buncombe
17709,29928,47637,Union
15071,23402,38473,Cabarrus
1409,2211,3620,Washington
9313,15739,25052,Harnett
10105,15552,25657,Burke
6316,10961,17277,Granville
18244,28923,47167,Gaston
3623,6793,10416,Edgecombe
5801,10407,16208,Watauga
2969,5082,8051,Hoke
2328,4437,6765,Bertie
4341,6723,11064,Person
5523,10648,16171,Beaufort
15340,24969,40309,Catawba
2670,7531,10201,Jackson
97236,175835,273071,Wake
8298,15202,23500,Cleveland
6101,9890,15991,Sampson
3936,7623,11559,Columbus
2241,4289,6530,Caswell
2005,3384,5389,Yancey
6089,9582,15671,Lee
1884,4202,6086,Hertford
5689,13045,18734,Rockingham
77880,121649,199529,Mecklenburg
8059,13465,21524,Carteret
1089,2533,3622,Swain
2523,3571,6094,Avery
4580,7929,12509,Vance
4085,9473,13558,Halifax
4689,8809,13498,Rutherford
7306,15315,22621,Nash
2392,4810,7202,Ashe
4093,5949,10042,Stokes
1065,1755,2820,Graham
5590,9125,14715,Pender
10147,16771,26918,Craven
42856,74215,117071,Guilford
2245,4071,6316,Madison
11243,16765,28008,Chatham
21847,29560,51407,Pitt
13535,24001,37536,Moore
38052,57349,95401,Forsyth
14720,23685,38405,Iredell
2945,6149,9094,Transylvania
2554,3927,6481,Martin
1484,3920,5404,Warren
973,1645,2618,Jones
5722,7629,13351,Davie
25882,41032,66914,Cumberland
4636,8388,13024,Mcdowell
2416,4730,7146,Cherokee
2280,3830,6110,Chowan
21401,32891,54292,Orange
3270,5815,9085,Alexander
38510,59436,97946,Durham
11972,19781,31753,Henderson
6260,9497,15757,Pasquotank
1820,3312,5132,Pamlico
1282,2243,3525,Mitchell
3346,5025,8371,Currituck
18926,32899,51825,Brunswick
13506,20519,34025,Davidson
5905,9679,15584,Franklin
7366,9790,17156,Dare
3631,5970,9601,Bladen
29530,42595,72125,New Hanover
2249,3722,5971,Anson
