Second Doses Administered,First Doses Administered,Total Doses Administered,County
11768,19501,31269,Robeson
1782,3637,5419,Perquimans
20517,36354,56871,Johnston
11716,22554,34270,Randolph
1062,1721,2783,Hyde
1926,3044,4970,Alleghany
5075,8915,13990,Duplin
1358,2608,3966,Gates
8432,13871,22303,Haywood
5890,10376,16266,Stanly
30964,56317,87281,Missing
8812,15769,24581,Wilson
594,1003,1597,Tyrrell
9991,19952,29943,Wayne
3084,5260,8344,Montgomery
7434,11852,19286,Lenoir
4561,6953,11514,Scotland
20921,35319,56240,Alamance
1235,2330,3565,Camden
2639,4399,7038,Greene
13506,20032,33538,Rowan
2569,5186,7755,Northampton
7188,12611,19799,Wilkes
8835,15235,24070,Lincoln
11346,16307,27653,Caldwell
2491,4857,7348,Polk
9346,16901,26247,Surry
4946,10449,15395,Macon
1200,2326,3526,Clay
4397,7527,11924,Yadkin
12626,21638,34264,Onslow
5948,9671,15619,Richmond
31334,58137,89471,Buncombe
22241,38667,60908,Union
18778,31868,50646,Cabarrus
1655,2621,4276,Washington
11870,19457,31327,Harnett
12344,18745,31089,Burke
7982,13054,21036,Granville
22462,38400,60862,Gaston
5043,9233,14276,Edgecombe
6386,14926,21312,Watauga
3797,6128,9925,Hoke
2740,5234,7974,Bertie
4963,8624,13587,Person
7581,13261,20842,Beaufort
19010,31210,50220,Catawba
4595,9984,14579,Jackson
130069,237547,367616,Wake
9963,19404,29367,Cleveland
7395,12779,20174,Sampson
5146,10155,15301,Columbus
2865,5271,8136,Caswell
2331,4447,6778,Yancey
7369,13019,20388,Lee
2516,5510,8026,Hertford
8804,18099,26903,Rockingham
97755,177167,274922,Mecklenburg
9454,18234,27688,Carteret
1764,2977,4741,Swain
2712,4903,7615,Avery
5663,9636,15299,Vance
6111,12754,18865,Halifax
5593,12231,17824,Rutherford
10210,20489,30699,Nash
2845,6830,9675,Ashe
4737,7960,12697,Stokes
1271,1944,3215,Graham
7163,11909,19072,Pender
12436,23457,35893,Craven
56483,115691,172174,Guilford
3228,5526,8754,Madison
13607,19974,33581,Chatham
24128,39540,63668,Pitt
17434,28372,45806,Moore
45122,82112,127234,Forsyth
18736,30549,49285,Iredell
3786,9134,12920,Transylvania
3111,5465,8576,Martin
2355,4691,7046,Warren
1272,2173,3445,Jones
6406,9603,16009,Davie
32640,47318,79958,Cumberland
6264,9928,16192,McDowell
3136,5767,8903,Cherokee
2544,4506,7050,Chowan
26745,44196,70941,Orange
4322,7435,11757,Alexander
46972,81043,128015,Durham
14065,25770,39835,Henderson
7238,10834,18072,Pasquotank
2496,4073,6569,Pamlico
1376,2997,4373,Mitchell
3527,5707,9234,Currituck
25610,41192,66802,Brunswick
16478,27109,43587,Davidson
7617,11999,19616,Franklin
7726,12294,20020,Dare
4414,7116,11530,Bladen
36051,55564,91615,New Hanover
2865,4621,7486,Anson
