Second Doses Administered,First Doses Administered,Total Doses Administered,County
13568,21885,35453,Robeson
2807,3837,6644,Perquimans
25131,42909,68040,Johnston
14526,26636,41162,Randolph
1172,1924,3096,Hyde
2022,3319,5341,Alleghany
6337,10698,17035,Duplin
1567,2859,4426,Gates
10008,16012,26020,Haywood
7041,12252,19293,Stanly
37997,63800,101797,Missing
10117,17991,28108,Wilson
631,1146,1777,Tyrrell
13157,23354,36511,Wayne
3514,6161,9675,Montgomery
8344,13333,21677,Lenoir
5146,8682,13828,Scotland
25258,43438,68696,Alamance
1358,2602,3960,Camden
2812,5304,8116,Greene
15569,22564,38133,Rowan
3239,5795,9034,Northampton
9087,14755,23842,Wilkes
11176,16971,28147,Lincoln
12546,18735,31281,Caldwell
3244,5659,8903,Polk
11440,18440,29880,Surry
6509,12407,18916,Macon
1461,2576,4037,Clay
5349,9208,14557,Yadkin
15512,24456,39968,Onslow
6808,10488,17296,Richmond
36450,71185,107635,Buncombe
29538,43299,72837,Union
22751,37496,60247,Cabarrus
1831,2859,4690,Washington
13790,22264,36054,Harnett
14702,21188,35890,Burke
9377,14702,24079,Granville
27521,43461,70982,Gaston
5654,10987,16641,Edgecombe
8098,16696,24794,Watauga
4375,6816,11191,Hoke
3337,6020,9357,Bertie
5817,10261,16078,Person
8945,14961,23906,Beaufort
23665,34171,57836,Catawba
6142,11416,17558,Jackson
160505,292002,452507,Wake
14088,21828,35916,Cleveland
8463,14310,22773,Sampson
6100,11970,18070,Columbus
3695,5756,9451,Caswell
2621,5070,7691,Yancey
9043,14260,23303,Lee
3043,6027,9070,Hertford
11580,21173,32753,Rockingham
120363,208949,329312,Mecklenburg
13019,21299,34318,Carteret
1990,3184,5174,Swain
3014,5253,8267,Avery
6515,10898,17413,Vance
7285,14444,21729,Halifax
6987,13834,20821,Rutherford
11895,23896,35791,Nash
3763,7560,11323,Ashe
5314,8981,14295,Stokes
1552,2046,3598,Graham
8188,14127,22315,Pender
16822,26588,43410,Craven
71316,145073,216389,Guilford
3631,6378,10009,Madison
14584,22099,36683,Chatham
26392,47592,73984,Pitt
21484,31279,52763,Moore
52797,97442,150239,Forsyth
23613,36112,59725,Iredell
5311,10094,15405,Transylvania
3388,6115,9503,Martin
2898,5376,8274,Warren
1538,2448,3986,Jones
6853,10688,17541,Davie
37623,52274,89897,Cumberland
7267,11971,19238,McDowell
4010,6599,10609,Cherokee
2845,4911,7756,Chowan
30983,52435,83418,Orange
4725,9228,13953,Alexander
56275,95759,152034,Durham
16759,31120,47879,Henderson
7643,11206,18849,Pasquotank
2977,4657,7634,Pamlico
1586,3573,5159,Mitchell
3728,6626,10354,Currituck
31606,47430,79036,Brunswick
19798,31866,51664,Davidson
9287,13686,22973,Franklin
8605,15028,23633,Dare
5067,7908,12975,Bladen
42816,63155,105971,New Hanover
3501,5398,8899,Anson
