Second Doses Administered,First Doses Administered,Total Doses Administered,County
15739,23155,38894,Robeson
3076,3947,7023,Perquimans
27881,47265,75146,Johnston
18051,28670,46721,Randolph
1399,2190,3589,Hyde
2427,3530,5957,Alleghany
7490,11272,18762,Duplin
1755,2934,4689,Gates
11487,17450,28937,Haywood
8851,13374,22225,Stanly
44314,70511,114825,Missing
12343,19422,31765,Wilson
838,1179,2017,Tyrrell
15720,25119,40839,Wayne
4358,6690,11048,Montgomery
9691,14296,23987,Lenoir
5818,9106,14924,Scotland
28794,48518,77312,Alamance
1609,2660,4269,Camden
3153,5656,8809,Greene
17119,24334,41453,Rowan
3997,6032,10029,Northampton
10511,15416,25927,Wilkes
13164,18222,31386,Lincoln
13819,20378,34197,Caldwell
3892,5796,9688,Polk
12551,19533,32084,Surry
7816,12977,20793,Macon
1844,2685,4529,Clay
5903,9761,15664,Yadkin
17605,26344,43949,Onslow
7624,11275,18899,Richmond
44701,77244,121945,Buncombe
34689,46752,81441,Union
27262,40406,67668,Cabarrus
2094,3010,5104,Washington
16350,23984,40334,Harnett
16346,22763,39109,Burke
10834,15706,26540,Granville
33190,46867,80057,Gaston
6727,11862,18589,Edgecombe
10279,18483,28762,Watauga
4884,7449,12333,Hoke
3928,6233,10161,Bertie
6824,10956,17780,Person
10485,15661,26146,Beaufort
26834,37726,64560,Catawba
7672,12164,19836,Jackson
190881,333069,523950,Wake
17101,23415,40516,Cleveland
9733,15170,24903,Sampson
7691,12734,20425,Columbus
4275,6360,10635,Caswell
3300,5322,8622,Yancey
9791,15915,25706,Lee
3503,6179,9682,Hertford
13448,23256,36704,Rockingham
147198,231390,378588,Mecklenburg
15230,22312,37542,Carteret
2399,3337,5736,Swain
3453,5706,9159,Avery
7948,11464,19412,Vance
9189,15250,24439,Halifax
8859,14734,23593,Rutherford
14346,25477,39823,Nash
4653,8006,12659,Ashe
6027,9597,15624,Stokes
1684,2109,3793,Graham
9379,15265,24644,Pender
19254,28746,48000,Craven
91215,156648,247863,Guilford
4090,7225,11315,Madison
15947,23442,39389,Chatham
31560,51002,82562,Pitt
24298,32900,57198,Moore
61574,106285,167859,Forsyth
25759,38116,63875,Iredell
5714,10933,16647,Transylvania
3936,6442,10378,Martin
3633,5707,9340,Warren
1815,2589,4404,Jones
7631,11732,19363,Davie
40539,55244,95783,Cumberland
8368,13147,21515,McDowell
4728,7116,11844,Cherokee
3245,5016,8261,Chowan
34566,58850,93416,Orange
5728,9789,15517,Alexander
64686,106328,171014,Durham
19898,34222,54120,Henderson
8794,11629,20423,Pasquotank
3441,4861,8302,Pamlico
2124,3840,5964,Mitchell
4147,7191,11338,Currituck
34923,51139,86062,Brunswick
22972,34585,57557,Davidson
10572,14991,25563,Franklin
9637,16539,26176,Dare
5908,8144,14052,Bladen
48089,68222,116311,New Hanover
3860,5669,9529,Anson
