Second Doses Administered,First Doses Administered,Total Doses Administered,County
15966,23349,39315,Robeson
3084,3949,7033,Perquimans
29441,47559,77000,Johnston
18763,28802,47565,Randolph
1399,2191,3590,Hyde
2475,3562,6037,Alleghany
7632,11493,19125,Duplin
1817,2942,4759,Gates
11559,17596,29155,Haywood
9185,13393,22578,Stanly
45102,71305,116407,Missing
12491,19548,32039,Wilson
848,1190,2038,Tyrrell
16634,25287,41921,Wayne
4390,6699,11089,Montgomery
9840,14415,24255,Lenoir
5855,9136,14991,Scotland
29599,49303,78902,Alamance
1660,2687,4347,Camden
3271,5705,8976,Greene
17370,24598,41968,Rowan
4063,6078,10141,Northampton
10850,15459,26309,Wilkes
13397,18344,31741,Lincoln
14296,20530,34826,Caldwell
3896,6007,9903,Polk
12613,19631,32244,Surry
7829,13018,20847,Macon
1867,2755,4622,Clay
6337,9786,16123,Yadkin
18438,26415,44853,Onslow
7992,11294,19286,Richmond
46519,78451,124970,Buncombe
35566,47125,82691,Union
27905,40742,68647,Cabarrus
2118,3030,5148,Washington
16788,24090,40878,Harnett
16445,22845,39290,Burke
10948,15950,26898,Granville
33361,47093,80454,Gaston
6841,11949,18790,Edgecombe
10325,19238,29563,Watauga
4961,7513,12474,Hoke
3962,6245,10207,Bertie
6911,11016,17927,Person
10762,15688,26450,Beaufort
27552,38013,65565,Catawba
8269,12201,20470,Jackson
195490,337897,533387,Wake
17277,23528,40805,Cleveland
9805,15205,25010,Sampson
7924,12755,20679,Columbus
4316,6391,10707,Caswell
3429,5361,8790,Yancey
10724,16000,26724,Lee
3584,6206,9790,Hertford
14249,23364,37613,Rockingham
149942,233808,383750,Mecklenburg
15373,22370,37743,Carteret
2521,3339,5860,Swain
3480,5720,9200,Avery
8040,11630,19670,Vance
9395,15353,24748,Halifax
8997,14807,23804,Rutherford
14899,25542,40441,Nash
4870,8109,12979,Ashe
6154,9666,15820,Stokes
1699,2110,3809,Graham
9616,15481,25097,Pender
19715,29117,48832,Craven
96129,157441,253570,Guilford
4111,7332,11443,Madison
16262,23573,39835,Chatham
32712,51530,84242,Pitt
24444,33097,57541,Moore
64050,107441,171491,Forsyth
26061,38261,64322,Iredell
6155,10986,17141,Transylvania
3969,6456,10425,Martin
3797,5744,9541,Warren
1834,2593,4427,Jones
7709,11792,19501,Davie
41570,55464,97034,Cumberland
8392,13197,21589,McDowell
4838,7131,11969,Cherokee
3255,5019,8274,Chowan
35616,59724,95340,Orange
5893,9798,15691,Alexander
66424,107500,173924,Durham
20147,34636,54783,Henderson
8924,11663,20587,Pasquotank
3474,4890,8364,Pamlico
2148,3875,6023,Mitchell
4439,7231,11670,Currituck
35694,51530,87224,Brunswick
23581,34959,58540,Davidson
10784,15233,26017,Franklin
9680,16570,26250,Dare
5932,8153,14085,Bladen
49518,69397,118915,New Hanover
3943,5765,9708,Anson
