Second Doses Administered,First Doses Administered,Total Doses Administered,County
16275,23515,39790,Robeson
3207,3961,7168,Perquimans
29849,48521,78370,Johnston
19705,28891,48596,Randolph
1441,2197,3638,Hyde
2518,3590,6108,Alleghany
7714,11708,19422,Duplin
1838,2948,4786,Gates
11609,17789,29398,Haywood
9317,13469,22786,Stanly
46146,72431,118577,Missing
12742,19636,32378,Wilson
859,1192,2051,Tyrrell
17095,25529,42624,Wayne
4547,6792,11339,Montgomery
10142,14493,24635,Lenoir
5905,9215,15120,Scotland
30410,50101,80511,Alamance
1795,2711,4506,Camden
3420,5759,9179,Greene
17998,24971,42969,Rowan
4140,6104,10244,Northampton
11314,15496,26810,Wilkes
13701,18612,32313,Lincoln
14382,20880,35262,Caldwell
4024,6131,10155,Polk
13558,19700,33258,Surry
7839,13061,20900,Macon
1959,2777,4736,Clay
6413,9812,16225,Yadkin
18510,26558,45068,Onslow
8210,11466,19676,Richmond
48174,79620,127794,Buncombe
36015,48371,84386,Union
28304,41468,69772,Cabarrus
2178,3053,5231,Washington
17187,24375,41562,Harnett
16550,22942,39492,Burke
11094,16208,27302,Granville
34262,47768,82030,Gaston
7004,12037,19041,Edgecombe
10780,19295,30075,Watauga
5072,7608,12680,Hoke
4009,6273,10282,Bertie
7029,11053,18082,Person
10841,15795,26636,Beaufort
27957,38777,66734,Catawba
8300,12432,20732,Jackson
201819,345200,547019,Wake
17533,23860,41393,Cleveland
9873,15578,25451,Sampson
8140,12784,20924,Columbus
4477,6642,11119,Caswell
3436,5401,8837,Yancey
11933,16113,28046,Lee
3623,6294,9917,Hertford
14545,23482,38027,Rockingham
153214,238999,392213,Mecklenburg
15495,22499,37994,Carteret
2528,3348,5876,Swain
3618,5747,9365,Avery
8125,11865,19990,Vance
9797,15487,25284,Halifax
9361,15032,24393,Rutherford
15260,25804,41064,Nash
5163,8138,13301,Ashe
6283,9766,16049,Stokes
1754,2115,3869,Graham
9838,15720,25558,Pender
20331,29207,49538,Craven
99899,157975,257874,Guilford
4177,7455,11632,Madison
16808,24161,40969,Chatham
32887,51721,84608,Pitt
25437,33178,58615,Moore
65028,109014,174042,Forsyth
26283,38749,65032,Iredell
6678,11025,17703,Transylvania
4060,6478,10538,Martin
3816,5885,9701,Warren
1882,2682,4564,Jones
7742,11877,19619,Davie
42882,56253,99135,Cumberland
8412,13239,21651,McDowell
4968,7224,12192,Cherokee
3508,5045,8553,Chowan
36591,60868,97459,Orange
6016,9919,15935,Alexander
68882,108892,177774,Durham
21037,34940,55977,Henderson
9237,11728,20965,Pasquotank
3567,4910,8477,Pamlico
2155,3904,6059,Mitchell
4525,7274,11799,Currituck
36275,52235,88510,Brunswick
24137,35287,59424,Davidson
11101,15503,26604,Franklin
9951,16574,26525,Dare
6002,8318,14320,Bladen
49765,70260,120025,New Hanover
4016,5794,9810,Anson
