Second Doses Administered,First Doses Administered,Total Doses Administered,County
18614,24683,43297,Robeson
3352,4025,7377,Perquimans
34277,53139,87416,Johnston
23354,30838,54192,Randolph
1655,2303,3958,Hyde
2811,3724,6535,Alleghany
8417,12188,20605,Duplin
2276,3039,5315,Gates
13050,19603,32653,Haywood
10276,14911,25187,Stanly
52756,81449,134205,Missing
14762,20991,35753,Wilson
985,1222,2207,Tyrrell
19810,26940,46750,Wayne
5067,7136,12203,Montgomery
11504,15073,26577,Lenoir
7108,9700,16808,Scotland
36791,54212,91003,Alamance
2175,2823,4998,Camden
4263,6026,10289,Greene
20677,27384,48061,Rowan
4917,6286,11203,Northampton
12723,16168,28891,Wilkes
15109,20564,35673,Lincoln
16276,22082,38358,Caldwell
5126,6395,11521,Polk
16466,20450,36916,Surry
9331,13918,23249,Macon
2248,2886,5134,Clay
7623,10270,17893,Yadkin
21289,28236,49525,Onslow
9427,12006,21433,Richmond
59100,87950,147050,Buncombe
40234,56486,96720,Union
31964,47733,79697,Cabarrus
2441,3140,5581,Washington
19301,26189,45490,Harnett
19342,24110,43452,Burke
12785,17633,30418,Granville
38552,52948,91500,Gaston
8481,12886,21367,Edgecombe
12567,21072,33639,Watauga
5674,8002,13676,Hoke
4889,6441,11330,Bertie
8024,12139,20163,Person
12236,16294,28530,Beaufort
31198,42831,74029,Catawba
9697,13380,23077,Jackson
242341,389386,631727,Wake
19629,24877,44506,Cleveland
11343,16305,27648,Sampson
9997,13333,23330,Columbus
5132,6992,12124,Caswell
4099,5606,9705,Yancey
13030,17346,30376,Lee
4963,6513,11476,Hertford
17450,25204,42654,Rockingham
179233,289073,468306,Mecklenburg
19008,23436,42444,Carteret
2873,3517,6390,Swain
4506,6091,10597,Avery
9270,12484,21754,Vance
12071,16016,28087,Halifax
11439,15707,27146,Rutherford
18331,27734,46065,Nash
5851,8587,14438,Ashe
7565,10511,18076,Stokes
1822,2195,4017,Graham
11885,17126,29011,Pender
23873,30389,54262,Craven
123043,172754,295797,Guilford
4819,7884,12703,Madison
18384,25204,43588,Chatham
37914,53647,91561,Pitt
28850,34910,63760,Moore
76332,119836,196168,Forsyth
28228,41197,69425,Iredell
7569,11712,19281,Transylvania
5135,6816,11951,Martin
4498,6437,10935,Warren
2157,2746,4903,Jones
8880,12680,21560,Davie
47261,59382,106643,Cumberland
9181,14015,23196,McDowell
5675,7567,13242,Cherokee
3828,5085,8913,Chowan
44325,66850,111175,Orange
7887,10347,18234,Alexander
81590,121286,202876,Durham
23955,37364,61319,Henderson
9826,12296,22122,Pasquotank
3996,5044,9040,Pamlico
2643,4161,6804,Mitchell
5260,7663,12923,Currituck
41470,55205,96675,Brunswick
28401,38505,66906,Davidson
12341,17254,29595,Franklin
11677,17634,29311,Dare
6724,8659,15383,Bladen
55809,79002,134811,New Hanover
4681,6249,10930,Anson
