Second Doses Administered,First Doses Administered,Total Doses Administered,County
19388,24866,44254,Robeson
3384,4061,7445,Perquimans
36657,53819,90476,Johnston
23831,31243,55074,Randolph
1695,2313,4008,Hyde
2947,3736,6683,Alleghany
8572,12329,20901,Duplin
2306,3070,5376,Gates
13488,19940,33428,Haywood
10352,15102,25454,Stanly
54360,83814,138174,Missing
15022,21215,36237,Wilson
1007,1224,2231,Tyrrell
20524,27265,47789,Wayne
5233,7209,12442,Montgomery
11825,15260,27085,Lenoir
7597,9739,17336,Scotland
39215,54837,94052,Alamance
2181,2831,5012,Camden
4522,6090,10612,Greene
21254,28037,49291,Rowan
4990,6318,11308,Northampton
13768,16558,30326,Wilkes
15478,21119,36597,Lincoln
17027,22223,39250,Caldwell
5172,6436,11608,Polk
16581,20593,37174,Surry
9355,13956,23311,Macon
2307,2894,5201,Clay
8424,10420,18844,Yadkin
22172,28479,50651,Onslow
9465,12021,21486,Richmond
61173,89252,150425,Buncombe
41041,58774,99815,Union
33432,49994,83426,Cabarrus
2471,3153,5624,Washington
19995,26431,46426,Harnett
19903,24912,44815,Burke
13158,17978,31136,Granville
39559,53849,93408,Gaston
8774,12997,21771,Edgecombe
12660,21108,33768,Watauga
5859,8082,13941,Hoke
4976,6462,11438,Bertie
8526,12228,20754,Person
12432,16379,28811,Beaufort
31645,43168,74813,Catawba
9747,13588,23335,Jackson
259718,400113,659831,Wake
20009,25150,45159,Cleveland
11752,16482,28234,Sampson
10184,13396,23580,Columbus
5223,7029,12252,Caswell
4308,5679,9987,Yancey
13129,17407,30536,Lee
5024,6528,11552,Hertford
18881,25342,44223,Rockingham
188287,301067,489354,Mecklenburg
19508,23661,43169,Carteret
2875,3521,6396,Swain
4566,6110,10676,Avery
9544,12792,22336,Vance
12252,16110,28362,Halifax
11801,15790,27591,Rutherford
18979,28004,46983,Nash
6108,8654,14762,Ashe
7688,10684,18372,Stokes
1844,2204,4048,Graham
12275,17286,29561,Pender
24614,30578,55192,Craven
129578,175462,305040,Guilford
4931,7957,12888,Madison
19510,25718,45228,Chatham
39026,53979,93005,Pitt
29167,35024,64191,Moore
78932,121283,200215,Forsyth
31286,43836,75122,Iredell
8005,11836,19841,Transylvania
5265,6861,12126,Martin
4605,6629,11234,Warren
2188,2770,4958,Jones
9086,12781,21867,Davie
48006,60184,108190,Cumberland
10008,14171,24179,McDowell
5833,7620,13453,Cherokee
3868,5088,8956,Chowan
46703,67775,114478,Orange
7994,10500,18494,Alexander
85493,123994,209487,Durham
24916,38142,63058,Henderson
9874,12382,22256,Pasquotank
4131,5104,9235,Pamlico
2752,4245,6997,Mitchell
5304,7732,13036,Currituck
43371,55555,98926,Brunswick
29402,39099,68501,Davidson
12927,17635,30562,Franklin
12178,17979,30157,Dare
6865,8724,15589,Bladen
58250,79535,137785,New Hanover
4842,6375,11217,Anson
