Second Doses Administered,First Doses Administered,Total Doses Administered,County
21436,25833,47269,Robeson
3504,4142,7646,Perquimans
41326,55690,97016,Johnston
27076,32123,59199,Randolph
1884,2378,4262,Hyde
3140,3784,6924,Alleghany
10179,12676,22855,Duplin
2560,3154,5714,Gates
14835,20572,35407,Haywood
11797,15516,27313,Stanly
61671,88832,150503,Missing
16964,21818,38782,Wilson
1076,1240,2316,Tyrrell
23214,28281,51495,Wayne
5912,7371,13283,Montgomery
13060,15660,28720,Lenoir
8445,9973,18418,Scotland
45308,56463,101771,Alamance
2316,2876,5192,Camden
5040,6231,11271,Greene
23224,29633,52857,Rowan
5516,6464,11980,Northampton
14484,16849,31333,Wilkes
16850,22233,39083,Lincoln
18572,22744,41316,Caldwell
5737,6531,12268,Polk
18653,20839,39492,Surry
10749,14171,24920,Macon
2513,2952,5465,Clay
9070,10641,19711,Yadkin
25677,29686,55363,Onslow
10548,12256,22804,Richmond
69715,92827,162542,Buncombe
45639,62826,108465,Union
37512,54030,91542,Cabarrus
2630,3195,5825,Washington
21823,27517,49340,Harnett
21783,25277,47060,Burke
14933,18610,33543,Granville
43266,56322,99588,Gaston
9994,13297,23291,Edgecombe
13906,21482,35388,Watauga
6485,8313,14798,Hoke
5491,6759,12250,Bertie
9936,12652,22588,Person
13889,16601,30490,Beaufort
35578,44909,80487,Catawba
10899,13947,24846,Jackson
299609,419839,719448,Wake
22225,25945,48170,Cleveland
13088,16915,30003,Sampson
11547,13803,25350,Columbus
5776,7200,12976,Caswell
4815,5826,10641,Yancey
14891,17952,32843,Lee
5372,6728,12100,Hertford
21317,25965,47282,Rockingham
216565,331745,548310,Mecklenburg
21000,24071,45071,Carteret
3191,3579,6770,Swain
4881,6271,11152,Avery
10811,13173,23984,Vance
13738,16501,30239,Halifax
13302,16234,29536,Rutherford
21683,28687,50370,Nash
6703,8848,15551,Ashe
8640,11074,19714,Stokes
1950,2220,4170,Graham
13958,17865,31823,Pender
26259,30914,57173,Craven
145454,180657,326111,Guilford
5763,8156,13919,Madison
21330,26332,47662,Chatham
43785,54976,98761,Pitt
30897,35538,66435,Moore
91035,125400,216435,Forsyth
34674,45515,80189,Iredell
8648,12099,20747,Transylvania
5701,7046,12747,Martin
5254,6784,12038,Warren
2333,2841,5174,Jones
9947,13183,23130,Davie
52028,61392,113420,Cumberland
11317,14434,25751,McDowell
6665,7812,14477,Cherokee
4042,5156,9198,Chowan
52459,69418,121877,Orange
8610,10680,19290,Alexander
95990,128352,224342,Durham
27929,38916,66845,Henderson
10237,12553,22790,Pasquotank
4545,5205,9750,Pamlico
3174,4361,7535,Mitchell
5855,7895,13750,Currituck
47082,56552,103634,Brunswick
32732,40598,73330,Davidson
14472,18460,32932,Franklin
14141,18239,32380,Dare
7692,8884,16576,Bladen
63007,82047,145054,New Hanover
5397,6634,12031,Anson
