Second Doses Administered,First Doses Administered,Total Doses Administered,County
22189,26179,48368,Robeson
3543,4154,7697,Perquimans
44308,56854,101162,Johnston
28260,32507,60767,Randolph
2094,2397,4491,Hyde
3276,3905,7181,Alleghany
10515,12800,23315,Duplin
2594,3170,5764,Gates
16031,20881,36912,Haywood
12550,15759,28309,Stanly
65675,89660,155335,Missing
18064,22122,40186,Wilson
1096,1258,2354,Tyrrell
23735,28647,52382,Wayne
6323,7467,13790,Montgomery
13521,15853,29374,Lenoir
8786,10161,18947,Scotland
47486,57106,104592,Alamance
2365,2889,5254,Camden
5214,6299,11513,Greene
24997,30182,55179,Rowan
5697,6555,12252,Northampton
14965,17035,32000,Wilkes
18078,22611,40689,Lincoln
19149,22976,42125,Caldwell
5860,6575,12435,Polk
19160,21057,40217,Surry
11198,14274,25472,Macon
2604,2975,5579,Clay
9399,10754,20153,Yadkin
26252,29999,56251,Onslow
10916,12475,23391,Richmond
75467,94335,169802,Buncombe
48891,64083,112974,Union
41167,55522,96689,Cabarrus
2694,3222,5916,Washington
23138,27908,51046,Harnett
22334,25502,47836,Burke
15748,19211,34959,Granville
45855,57271,103126,Gaston
10459,13455,23914,Edgecombe
14666,21605,36271,Watauga
6800,8467,15267,Hoke
5543,6788,12331,Bertie
10595,12852,23447,Person
14084,16748,30832,Beaufort
38134,45483,83617,Catawba
11128,14148,25276,Jackson
326679,426750,753429,Wake
23122,26236,49358,Cleveland
13802,17144,30946,Sampson
12070,14045,26115,Columbus
6335,7345,13680,Caswell
5031,5860,10891,Yancey
15319,18170,33489,Lee
5538,6769,12307,Hertford
22322,26354,48676,Rockingham
238702,340034,578736,Mecklenburg
21772,24262,46034,Carteret
3208,3615,6823,Swain
5143,6308,11451,Avery
11183,13517,24700,Vance
14313,16701,31014,Halifax
13953,16379,30332,Rutherford
22734,29083,51817,Nash
6980,8900,15880,Ashe
9044,11206,20250,Stokes
1989,2243,4232,Graham
14661,18017,32678,Pender
27869,31339,59208,Craven
150838,183280,334118,Guilford
6210,8241,14451,Madison
22335,26505,48840,Chatham
44381,55728,100109,Pitt
32090,36007,68097,Moore
95600,127033,222633,Forsyth
36921,45991,82912,Iredell
9105,12257,21362,Transylvania
5849,7157,13006,Martin
5503,6913,12416,Warren
2512,2860,5372,Jones
10363,13416,23779,Davie
53774,62204,115978,Cumberland
12473,14750,27223,McDowell
6952,7992,14944,Cherokee
4092,5183,9275,Chowan
55847,70113,125960,Orange
9236,10852,20088,Alexander
102073,130386,232459,Durham
31472,39215,70687,Henderson
10435,12666,23101,Pasquotank
4675,5240,9915,Pamlico
3412,4420,7832,Mitchell
6381,7967,14348,Currituck
48857,57203,106060,Brunswick
34465,41231,75696,Davidson
15723,18775,34498,Franklin
14715,18336,33051,Dare
7857,8997,16854,Bladen
67408,82828,150236,New Hanover
5526,6713,12239,Anson
