Second Doses Administered,First Doses Administered,Total Doses Administered,County
754,2627,3381,Ashe 
1225,6844,8069,Beaufort 
577,3731,4308,Bertie 
4658,19236,23894,Brunswick 
6807,16467,23274,Cabarrus 
665,1693,2358,Camden 
706,2602,3308,Caswell 
163,1101,1264,Clay 
14831,26632,41463,Cumberland 
571,1900,2471,Gates 
16969,44418,61387,Guilford 
4018,12462,16480,Henderson 
334,1117,1451,Jones 
4296,9774,14070,Randolph 
1453,5166,6619,Vance 
255,1661,1916,Washington 
2589,6149,8738,Watauga 
2657,8259,10916,Wayne 
1870,6217,8087,Wilkes 
1428,3565,4993,Alexander 
403,2492,2895,Anson 
702,2704,3406,Avery 
3887,10447,14334,Burke 
7627,16489,24116,Catawba 
3966,11915,15881,Chatham 
822,3435,4257,Chowan 
4044,11166,15210,Craven 
3149,6025,9174,Davie 
16418,39216,55634,Durham 
2370,6157,8527,Lee 
462,3275,3737,Macon 
686,2689,3375,Madison 
570,2503,3073,Montgomery 
1864,5984,7848,Pender 
573,2205,2778,Polk 
1170,4417,5587,Stokes 
537,3098,3635,Transylvania 
88,522,610,Tyrrell 
7528,18106,25634,Union 
1911,3965,5876,Yadkin 
366,1911,2277,Alleghany 
1726,3920,5646,Bladen 
9451,24490,33941,Buncombe 
4916,10134,15050,Caldwell 
1157,4271,5428,Columbus 
1535,7911,9446,Dare 
6122,13426,19548,Davidson 
691,4479,5170,Duplin 
888,4277,5165,Edgecombe 
18494,39985,58479,Forsyth 
6526,18933,25459,Gaston 
449,2499,2948,Greene 
1310,4840,6150,Halifax 
874,2879,3753,Hertford 
287,968,1255,Hyde 
5272,17607,22879,Johnston 
2283,6460,8743,Lenoir 
2385,7330,9715,Lincoln 
7680,28141,35821,Missing 
244,1474,1718,Mitchell 
12962,28391,41353,New Hanover
493,2209,2702,Northampton 
3634,11152,14786,Onslow 
10309,22204,32513,Orange 
222,2752,2974,Perquimans 
7427,22698,30125,Pitt 
1607,6890,8497,Rockingham 
3782,9794,13576,Rowan 
2027,5417,7444,Rutherford 
1207,6061,7268,Stanly 
298,1476,1774,Swain 
33328,103711,137039,Wake 
349,2058,2407,Warren 
3595,7532,11127,Wilson 
6167,15299,21466,Alamance 
3557,8746,12303,Carteret 
743,2898,3641,Cherokee 
2130,8895,11025,Cleveland 
1141,4660,5801,Currituck 
2612,6307,8919,Franklin 
255,1132,1387,Graham 
3335,6877,10212,Granville 
3365,10068,13433,Harnett 
2648,7247,9895,Haywood 
1194,3309,4503,Hoke 
6457,15674,22131,Iredell 
461,3091,3552,Jackson 
481,2877,3358,Martin 
1008,5133,6141,Mcdowell 
29345,81552,110897,Mecklenburg 
6444,14421,20865,Moore 
3025,8667,11692,Nash 
686,2083,2769,Pamlico 
2884,7869,10753,Pasquotank 
1316,4479,5795,Person 
1097,5377,6474,Richmond 
4768,10748,15516,Robeson 
1914,6994,8908,Sampson 
469,3699,4168,Scotland 
3535,8353,11888,Surry 
538,2167,2705,Yancey 
