COVID Suspected Race Other,COVID Confirmed 50-59,Date Filter,COVID Suspected Hispanic,COVID Confirmed 60-69,COVID Confirmed 80-,COVID Suspected Alaskan Native American Indian,COVID Confirmed Race Not Disclosed,COVID Suspected 18-19,COVID Confirmed White,COVID Suspected Black African American,COVID Suspected Race Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Alaskan Native American Indian,COVID Suspected Age Unknown,COVID Confirmed Black African American,COVID Suspected Ethnicity Missing,COVID Suspected 20-29,COVID Confirmed Asian,COVID Suspected 70-79,COVID Suspected Asian,COVID Suspected Gender Not Disclosed,Max Date,COVID Confirmed 0-17,COVID Suspected White,COVID Suspected Female,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Hispanic,COVID Suspected Ethnicity Not Disclosed,COVID Confirmed Age Missing,COVID Suspected 40-49,COVID Suspected Gender Unknown,COVID Confirmed Female,COVID Confirmed 20-29,COVID Confirmed Native Hawaiian Pacific Islander,COVID Confirmed Race Missing,COVID Suspected Non-Hispanic,COVID Confirmed Gender Not Disclosed,COVID Suspected 80-,COVID Suspected 50-59,today,COVID Confirmed 30-39,COVID Confirmed Male,COVID Suspected Male,COVID Confirmed Race Other,COVID Suspected Native Hawaiian Pacific Islander,COVID Confirmed Non-Hispanic,COVID Suspected 60-69,COVID Confirmed 70-79,COVID Confirmed Gender Unknown,COVID Suspected Race Not Disclosed,Date,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed 40-49,COVID Suspected 0-17,COVID Confirmed Age Unknown,COVID Suspected 30-39,COVID Confirmed 18-19,COVID Suspected Age Missing
10,35,T,9,72,47,4,6,1,166,84,0,4,5,0,75,0,11,0,44,1,25,2021-02-15,6,149,115,0,4,14,9,0,26,0,126,11,0,3,235,0,46,39,2021-02-19,9,140,113,14,0,229,65,62,0,5,2021-02-10,22,25,10,0,11,2,0
14,36,T,12,57,69,0,7,2,185,100,0,0,5,0,87,0,21,6,56,5,16,2021-02-15,2,156,150,0,0,17,16,0,18,1,165,11,0,0,251,0,54,46,2021-02-19,18,138,112,13,0,264,51,86,0,4,2020-12-14,22,19,13,0,18,5,0
20,51,T,14,84,83,5,5,3,237,71,1,6,13,1,115,1,21,5,51,1,21,2021-02-15,6,154,123,6,6,28,20,2,20,0,214,16,0,2,223,0,49,38,2021-02-19,25,188,108,26,0,345,41,101,0,6,2021-01-20,24,32,10,0,23,3,0
12,58,T,12,90,72,1,2,0,250,56,0,0,5,1,83,0,10,2,46,0,22,2021-02-15,2,141,99,0,0,19,12,0,19,0,162,11,1,0,192,0,40,38,2021-02-19,12,200,95,19,1,320,43,94,0,5,2020-12-28,23,22,6,0,13,1,0
9,46,T,14,81,93,1,10,0,262,74,1,2,12,0,108,1,13,3,66,2,29,2021-02-15,7,188,135,4,2,20,11,1,25,0,213,19,0,2,254,0,50,40,2021-02-19,16,194,112,12,0,351,54,109,0,5,2021-01-26,36,36,11,0,20,1,1
12,35,T,13,68,52,1,3,1,170,70,0,2,0,0,84,0,11,5,38,0,22,2021-02-15,1,137,107,0,0,8,4,0,28,0,118,5,2,0,209,0,40,34,2021-02-19,12,152,97,6,1,245,54,74,0,5,2021-02-09,15,22,6,0,14,1,0
18,49,T,18,75,64,3,8,2,185,71,2,10,3,0,97,3,20,0,50,1,1,2021-02-15,2,162,129,30,10,13,11,4,26,4,152,16,1,6,235,1,36,46,2021-02-19,11,158,103,14,2,271,59,65,0,8,2021-02-03,20,28,8,0,15,0,5
13,41,T,10,54,43,3,12,2,137,73,0,0,8,1,67,0,18,4,62,3,0,2021-02-15,3,175,134,21,0,10,22,0,23,1,113,10,2,0,242,6,37,46,2021-02-19,5,119,118,8,0,206,53,55,0,7,2020-11-26,22,20,10,7,22,0,0
14,51,T,12,77,89,4,8,0,238,70,1,11,8,0,99,0,17,1,50,3,20,2021-02-15,3,152,112,4,11,22,8,9,21,0,201,9,1,5,229,0,45,28,2021-02-19,20,173,113,23,0,326,53,90,0,5,2021-01-21,24,34,16,0,18,1,1
17,25,T,17,24,19,2,13,7,69,80,41,12,2,0,28,44,27,2,50,1,0,2021-02-15,2,179,155,41,12,9,18,8,19,1,62,4,0,10,252,3,55,48,2021-02-19,6,59,134,6,0,92,56,29,0,11,2020-10-12,17,12,21,1,25,0,23
10,27,T,17,34,36,1,1,4,115,91,3,9,6,0,45,4,24,3,64,1,20,2021-02-15,2,206,150,0,9,8,23,8,21,0,89,8,0,9,279,0,54,48,2021-02-19,6,90,153,8,1,160,67,50,0,10,2020-11-13,10,14,22,0,17,2,2
18,42,T,15,70,61,1,10,2,194,70,0,0,3,0,85,0,18,3,52,3,25,2021-02-15,4,145,112,0,0,22,13,0,17,1,157,7,0,0,214,0,51,29,2021-02-19,16,157,104,19,0,270,43,85,0,5,2020-12-20,22,28,8,0,22,1,0
10,54,T,6,81,89,4,12,1,271,80,0,0,10,1,80,0,14,1,51,1,25,2021-02-15,4,166,135,0,0,17,12,0,22,1,214,15,0,0,248,6,47,40,2021-02-19,21,168,105,14,1,342,59,97,0,4,2021-01-04,29,20,9,7,22,0,0
8,52,T,13,68,57,7,11,3,204,115,0,0,2,0,80,0,21,0,77,4,23,2021-02-15,1,197,175,0,0,15,22,0,30,1,152,13,0,0,309,0,51,48,2021-02-19,12,159,145,14,1,263,73,86,0,12,2020-12-08,33,20,11,1,30,1,0
16,18,T,10,25,24,3,1,3,67,75,47,34,2,2,26,54,28,0,69,5,0,2021-02-15,1,220,173,53,34,11,30,26,33,0,49,5,0,34,288,2,49,49,2021-02-19,5,57,156,12,0,78,68,31,0,16,2020-10-08,19,7,14,0,27,0,38
23,25,T,18,37,36,5,2,4,104,104,46,20,5,0,36,47,28,1,77,3,0,2021-02-15,1,223,195,46,20,12,30,13,26,2,89,5,0,14,331,6,68,61,2021-02-19,8,71,183,13,0,123,67,35,1,22,2020-10-13,20,14,27,0,41,1,27
19,38,T,17,80,64,1,2,3,227,75,0,0,4,0,67,0,22,2,59,1,30,2021-02-15,1,174,136,0,0,16,18,0,24,3,162,13,0,0,241,0,49,44,2021-02-19,15,161,107,21,1,291,53,93,0,5,2020-12-19,16,18,8,0,14,1,0
8,36,T,4,50,47,3,6,0,125,54,1,0,5,0,78,1,10,3,35,3,15,2021-02-15,4,112,85,1,0,11,10,0,15,0,116,5,0,0,169,0,33,25,2021-02-19,9,110,83,10,0,195,41,52,1,3,2021-02-07,21,22,9,2,15,1,1
9,16,T,9,20,26,3,7,2,55,50,1,4,5,0,41,1,10,1,52,1,0,2021-02-15,1,151,104,17,4,6,13,4,15,0,63,3,0,4,198,0,38,33,2021-02-19,5,52,100,5,0,93,44,32,0,6,2020-11-01,15,9,6,0,20,2,1
11,25,T,13,36,36,1,5,1,119,72,4,7,1,0,47,4,17,0,54,1,22,2021-02-15,4,191,149,2,7,14,17,3,17,0,90,7,0,3,255,0,60,43,2021-02-19,9,91,116,9,1,157,57,46,0,8,2020-11-12,6,18,21,0,15,0,4
19,12,T,15,20,19,2,7,0,49,81,34,25,2,3,23,33,17,0,49,3,3,2021-02-15,1,151,140,34,25,7,18,19,22,0,53,6,1,25,235,4,35,45,2021-02-19,2,33,124,8,0,71,37,26,0,11,2020-10-04,12,7,23,3,36,0,31
17,42,T,12,66,43,1,4,2,164,79,0,2,8,1,79,0,13,0,52,2,17,2021-02-15,2,166,120,0,2,15,14,2,25,2,152,12,1,2,243,0,44,42,2021-02-19,18,122,130,18,0,245,56,64,0,4,2020-12-07,14,24,12,1,22,2,0
15,39,T,13,40,41,4,7,5,123,86,0,0,3,0,59,0,19,1,66,3,0,2021-02-15,3,183,145,20,0,16,9,0,26,1,111,6,1,0,273,1,52,43,2021-02-19,6,99,129,18,0,176,45,51,1,4,2020-11-18,20,25,18,1,21,0,0
12,45,T,11,60,69,1,4,3,213,86,8,0,3,0,68,7,20,3,65,0,26,2021-02-15,2,209,136,8,0,10,13,0,32,2,143,10,0,0,290,0,57,32,2021-02-19,12,163,149,15,2,281,68,83,0,3,2020-12-03,15,25,9,0,27,0,8
9,46,T,13,54,42,2,6,5,166,85,0,2,7,0,65,0,23,0,44,1,24,2021-02-15,3,181,136,0,2,21,12,2,30,2,128,6,1,2,257,0,42,46,2021-02-19,13,136,120,19,0,221,53,67,0,4,2020-12-06,22,29,16,2,23,2,0
24,55,T,19,72,93,0,10,1,242,72,1,11,6,1,104,1,14,5,61,3,31,2021-02-15,5,197,136,4,11,21,26,0,24,2,198,15,1,11,254,5,62,49,2021-02-19,19,185,127,20,0,330,53,106,0,3,2020-12-30,37,31,11,6,24,0,0
13,34,T,11,51,53,1,11,1,169,86,2,2,0,0,57,2,17,1,71,1,0,2021-02-15,3,180,136,20,0,20,25,0,19,0,130,6,0,1,254,1,53,40,2021-02-19,15,123,136,15,0,215,50,73,0,9,2020-11-24,17,16,17,1,22,2,2
11,17,T,5,25,25,0,0,1,66,68,6,9,1,0,35,9,10,1,41,0,0,2021-02-15,1,148,119,21,9,7,16,8,24,2,61,2,0,9,208,0,40,29,2021-02-19,3,47,96,6,1,93,55,31,1,4,2020-10-19,9,6,14,0,19,0,5
18,70,T,22,100,125,2,12,1,313,73,0,0,13,0,137,0,12,8,51,2,21,2021-02-15,8,190,148,1,0,30,18,0,23,1,263,23,0,0,254,1,64,48,2021-02-19,23,240,123,23,0,436,64,117,2,9,2021-01-12,40,37,8,1,23,2,0
14,15,T,12,30,22,3,2,1,81,68,2,9,1,1,36,3,18,1,60,3,17,2021-02-15,1,180,143,1,9,9,11,5,23,1,63,6,0,8,248,0,35,38,2021-02-19,3,66,112,8,1,115,58,44,0,3,2020-10-21,4,10,18,1,21,0,0
10,49,T,9,71,65,3,7,3,221,77,0,0,8,1,65,0,18,9,66,2,32,2021-02-15,2,185,153,0,0,17,13,0,17,0,164,12,1,0,260,0,52,35,2021-02-19,11,161,97,14,1,280,54,91,0,4,2020-12-17,28,20,12,0,24,4,0
13,66,T,20,73,84,3,3,2,252,93,1,0,4,0,119,1,21,4,73,2,27,2021-02-15,5,217,153,1,0,30,17,0,31,1,203,19,1,0,296,1,57,53,2021-02-19,23,203,152,24,0,355,66,97,0,5,2020-12-15,22,35,15,0,15,5,1
10,35,T,8,31,43,2,3,1,104,48,0,1,3,0,56,0,6,1,28,0,22,2021-02-15,0,83,60,0,0,6,5,0,19,0,81,5,0,0,133,0,30,18,2021-02-19,10,90,64,5,0,157,30,33,1,3,2021-02-15,6,17,5,0,9,0,0
16,18,T,15,26,15,2,0,2,61,87,56,27,1,0,25,58,26,3,60,5,0,2021-02-15,2,197,170,60,27,5,22,8,24,4,43,8,0,26,277,0,47,52,2021-02-19,12,50,138,5,3,82,62,19,1,6,2020-10-09,7,10,16,1,33,2,50
7,27,T,14,41,30,4,2,6,98,93,0,3,4,2,57,0,24,1,66,1,15,2021-02-15,3,199,165,5,0,10,13,0,27,0,78,3,0,0,284,0,44,47,2021-02-19,6,92,126,8,0,148,56,47,0,7,2020-11-05,9,12,18,0,21,1,0
17,57,T,17,114,102,3,7,2,292,86,0,11,5,0,120,2,14,8,66,1,25,2021-02-15,2,164,152,0,11,25,21,4,27,0,230,17,1,10,244,0,51,30,2021-02-19,20,227,107,22,1,408,66,107,0,12,2021-01-09,21,36,12,6,16,0,0
9,48,T,8,57,68,1,8,0,195,64,3,4,3,0,82,3,11,3,40,1,17,2021-02-15,5,114,88,11,4,20,9,4,23,0,150,13,0,3,178,0,32,24,2021-02-19,16,159,82,17,0,273,41,79,0,6,2021-01-25,14,19,7,0,18,2,2
11,50,T,16,51,53,4,7,2,171,70,0,0,10,0,98,0,12,3,54,1,31,2021-02-15,7,154,114,0,0,12,7,0,25,0,163,8,0,0,225,0,31,39,2021-02-19,18,134,103,8,0,267,52,84,0,8,2021-01-29,18,25,11,0,22,1,0
15,78,T,14,81,82,2,16,4,268,88,0,0,5,0,110,0,18,5,66,3,31,2021-02-15,6,197,148,0,0,20,19,0,26,2,215,16,0,0,277,3,59,48,2021-02-19,13,204,129,18,0,357,63,97,0,5,2020-12-22,45,36,7,10,19,3,0
15,46,T,15,73,60,5,4,2,192,108,0,4,4,0,91,0,25,0,75,0,24,2021-02-15,4,207,169,0,4,14,22,4,25,1,150,8,0,6,308,0,57,44,2021-02-19,16,158,151,15,1,275,66,74,0,9,2020-12-10,19,25,25,0,26,2,0
8,23,T,11,29,27,4,5,2,81,71,11,12,4,0,42,11,14,2,63,1,0,2021-02-15,2,183,135,30,12,11,25,10,28,1,60,7,0,8,243,0,48,42,2021-02-19,8,79,124,8,0,118,47,37,0,12,2020-10-16,9,6,13,0,23,1,10
16,35,T,12,33,37,4,7,2,123,74,4,6,4,0,52,4,18,5,55,5,0,2021-02-15,1,183,147,23,6,11,21,6,25,1,102,11,0,6,263,0,52,39,2021-02-19,15,101,129,12,1,176,51,53,0,13,2020-11-14,16,16,26,0,29,2,3
15,36,T,12,75,68,1,9,0,203,96,0,0,2,1,71,0,18,6,69,3,24,2021-02-15,2,193,157,0,0,18,19,0,33,1,155,4,0,0,283,2,41,51,2021-02-19,11,148,132,14,0,274,55,77,0,6,2020-12-04,13,27,13,4,33,1,0
14,60,T,16,101,117,2,2,2,291,81,2,2,13,0,124,2,10,4,67,1,0,2021-02-15,1,178,133,2,2,15,12,2,19,28,235,17,0,2,253,0,53,47,2021-02-19,18,221,120,22,1,418,53,109,0,4,2021-01-16,23,32,9,0,21,1,2
12,23,T,8,45,38,4,2,2,105,65,1,17,0,0,53,5,16,1,45,2,0,2021-02-15,2,151,119,20,17,11,13,16,22,0,91,7,0,16,214,0,45,30,2021-02-19,10,81,101,9,0,151,45,32,0,5,2020-10-24,7,13,11,0,21,0,3
11,44,T,12,63,75,5,4,1,206,72,0,14,4,0,87,0,15,2,62,2,25,2021-02-15,3,180,139,0,14,17,19,13,18,0,170,9,1,13,250,0,43,35,2021-02-19,12,149,117,15,0,272,71,88,0,11,2020-12-11,29,23,11,2,25,0,0
9,17,T,6,43,34,2,4,2,96,67,0,0,9,0,60,0,8,1,46,2,0,2021-02-15,2,115,86,19,0,9,13,0,14,0,86,11,0,0,179,1,35,36,2021-02-19,9,91,93,8,1,151,41,41,0,2,2020-11-27,18,19,4,2,12,0,0
16,10,T,14,36,27,2,2,2,93,68,3,5,4,0,44,3,23,2,41,2,0,2021-02-15,0,192,159,20,5,8,15,1,24,0,77,10,2,1,257,0,48,45,2021-02-19,8,73,110,4,1,130,65,48,0,5,2020-10-29,9,12,17,0,22,0,2
15,70,T,9,87,95,1,15,1,292,64,0,5,6,0,91,0,9,4,63,3,25,2021-02-15,5,177,113,0,5,21,23,1,21,1,211,10,0,5,235,8,53,35,2021-02-19,20,205,128,14,0,355,55,105,0,7,2021-01-03,46,22,15,11,15,1,0
4,35,T,6,47,38,2,2,2,132,59,0,0,3,0,56,0,10,0,33,0,0,2021-02-15,1,91,81,14,0,8,3,0,16,0,113,12,0,0,151,0,26,21,2021-02-19,12,91,64,11,0,190,29,46,0,3,2021-02-14,6,15,7,0,15,0,0
10,27,T,17,35,23,6,6,0,86,92,29,0,3,0,39,30,22,0,50,1,0,2021-02-15,3,137,120,46,0,9,18,4,28,0,63,6,1,5,218,2,40,29,2021-02-19,6,77,117,7,1,113,44,30,0,7,2020-10-15,25,12,16,0,24,1,30
12,40,T,14,70,66,3,6,1,181,70,0,0,3,1,90,0,19,4,46,1,22,2021-02-15,2,164,121,0,0,16,21,0,22,0,142,10,0,0,223,0,59,38,2021-02-19,12,153,115,11,1,261,44,76,0,7,2020-12-13,18,17,10,1,18,1,0
12,19,T,16,32,28,2,4,2,92,70,3,9,2,0,41,3,19,3,39,2,0,2021-02-15,4,155,126,18,9,17,22,11,26,1,76,7,0,14,213,0,44,34,2021-02-19,10,82,109,11,0,129,47,39,0,10,2020-11-15,12,15,17,1,24,1,2
21,37,T,14,48,54,1,8,2,157,76,0,0,3,0,68,0,24,4,53,2,1,2021-02-15,5,158,119,24,0,20,17,0,19,3,118,7,0,0,232,2,49,39,2021-02-19,13,136,116,16,0,219,49,66,0,5,2020-11-28,17,24,12,2,16,0,0
21,51,T,13,82,83,4,2,2,247,78,0,0,1,4,94,0,18,0,58,2,28,2021-02-15,5,179,133,0,0,26,23,0,26,1,192,9,1,0,252,1,62,34,2021-02-19,18,182,126,30,2,327,54,98,0,2,2020-12-27,22,26,12,3,18,0,0
14,16,T,16,32,31,4,3,5,85,68,2,14,4,0,40,2,15,2,49,1,0,2021-02-15,2,158,126,17,14,9,17,13,19,0,85,7,0,14,218,0,42,27,2021-02-19,6,59,110,9,0,116,51,35,0,6,2020-10-23,18,12,18,3,25,0,2
20,27,T,13,35,35,1,5,1,102,70,4,0,1,1,54,2,16,0,63,1,19,2021-02-15,0,208,154,10,0,8,22,0,28,0,87,5,0,0,279,1,56,41,2021-02-19,10,83,133,9,0,149,64,36,0,12,2020-11-04,14,20,11,2,31,1,3
10,23,T,9,26,21,5,3,3,85,71,3,5,2,0,50,5,10,0,56,2,0,2021-02-15,2,184,137,21,5,17,19,1,36,0,74,4,0,3,245,0,56,37,2021-02-19,14,76,120,10,0,125,46,48,0,3,2020-10-28,6,13,10,0,24,1,0
10,31,T,8,30,34,0,2,2,106,91,4,4,1,3,48,4,27,4,56,2,15,2021-02-15,2,171,131,0,4,13,11,3,29,4,89,10,1,5,265,0,41,56,2021-02-19,9,86,138,11,1,148,41,45,0,9,2020-11-09,13,13,15,0,18,1,0
14,31,T,14,26,35,1,2,2,96,56,4,5,2,0,32,4,18,6,57,5,0,2021-02-15,2,186,138,24,5,11,15,3,40,1,73,3,0,2,243,0,45,38,2021-02-19,5,78,113,15,2,132,51,36,0,8,2020-10-30,7,14,14,0,10,0,1
15,34,T,12,38,41,3,8,5,111,90,5,3,7,0,55,6,24,0,60,2,0,2021-02-15,1,181,140,23,0,13,14,0,35,0,101,5,1,2,269,4,50,43,2021-02-19,11,90,138,11,0,161,51,47,0,5,2020-11-16,18,16,8,2,21,0,4
8,45,T,8,58,66,0,2,2,171,60,0,0,5,0,93,0,9,1,46,2,21,2021-02-15,5,147,107,0,0,10,5,0,16,1,152,9,1,0,205,0,36,40,2021-02-19,11,134,89,13,0,254,51,71,0,1,2021-01-31,22,19,10,0,8,2,0
15,44,T,17,57,57,1,10,2,190,86,4,0,2,0,78,4,23,1,61,1,20,2021-02-15,5,186,141,4,0,16,20,0,25,0,143,10,0,0,262,0,57,42,2021-02-19,13,152,138,14,1,256,51,81,0,9,2020-12-05,23,27,13,0,25,1,4
9,14,T,5,32,16,1,5,1,74,50,5,9,3,0,34,7,16,1,33,3,0,2021-02-15,5,155,115,17,9,10,8,4,22,0,67,7,0,6,211,0,42,31,2021-02-19,8,60,99,8,1,102,47,34,0,7,2020-10-26,10,7,12,3,23,1,4
19,51,T,16,78,59,6,6,1,198,90,0,0,2,0,89,0,23,5,73,2,22,2021-02-15,3,207,173,0,0,20,34,0,34,0,165,7,1,0,286,3,54,48,2021-02-19,15,155,141,23,2,267,65,85,1,10,2020-12-09,37,24,13,1,25,1,0
8,53,T,12,80,111,4,12,0,306,81,0,3,4,1,95,0,16,4,68,2,29,2021-02-15,8,196,132,2,3,18,15,3,27,0,220,17,0,5,269,9,54,42,2021-02-19,24,210,133,16,0,389,57,110,0,5,2021-01-01,32,23,11,11,20,2,0
7,28,T,7,27,15,2,3,1,86,86,10,3,2,0,41,8,27,1,54,1,0,2021-02-15,1,184,144,27,3,9,14,0,22,0,63,6,0,1,264,0,55,49,2021-02-19,9,81,122,11,0,123,51,46,0,3,2020-10-27,10,12,16,0,12,1,6
11,30,T,5,46,50,1,9,2,127,89,0,0,2,1,63,0,18,1,61,1,0,2021-02-15,1,161,141,18,0,9,17,0,19,0,100,3,0,0,246,5,52,39,2021-02-19,8,104,109,7,1,179,47,56,0,4,2020-11-25,21,10,10,5,19,0,0
11,20,T,11,35,25,2,4,1,79,63,8,7,0,0,46,9,24,1,50,3,0,2021-02-15,0,168,127,23,7,8,14,3,13,5,70,9,1,5,229,0,38,38,2021-02-19,3,67,108,6,0,119,53,34,0,8,2020-10-31,8,13,11,0,29,0,6
10,43,T,12,64,55,2,4,1,183,67,0,5,4,0,94,0,10,0,56,2,0,2021-02-15,3,153,114,25,5,10,6,10,20,0,143,12,0,4,220,0,45,36,2021-02-19,8,154,98,13,0,267,47,92,0,5,2021-02-05,20,14,11,1,19,0,0
19,43,T,18,90,68,3,6,3,173,67,2,8,9,0,117,2,10,4,55,4,22,2021-02-15,7,138,97,7,8,22,10,2,18,0,173,8,0,10,207,0,38,34,2021-02-19,14,164,111,21,0,281,42,78,0,4,2021-01-24,29,29,11,0,24,1,2
12,30,T,12,30,26,1,2,2,92,67,3,13,1,0,53,4,15,4,70,2,0,2021-02-15,3,220,137,23,13,11,14,10,25,1,79,5,0,11,280,0,48,43,2021-02-19,9,82,149,9,0,138,60,45,0,5,2020-10-20,10,13,19,0,24,1,4
13,14,T,9,21,19,1,2,1,87,82,10,5,2,3,23,8,16,0,60,1,14,2021-02-15,2,165,127,8,5,5,38,4,24,3,51,2,0,4,228,2,41,33,2021-02-19,11,66,131,5,0,106,61,39,0,11,2020-11-08,7,9,15,2,21,0,5
16,41,T,13,47,29,0,4,4,138,83,3,5,4,0,55,4,28,1,70,3,0,2021-02-15,2,240,168,23,5,19,24,2,25,1,115,8,0,4,312,2,66,51,2021-02-19,12,103,161,18,0,185,65,63,0,8,2020-11-17,15,18,21,2,21,0,2
