male_pop-1,female_pop-1,male_pop-2,female_pop-2,age_18_24-1,age_18_24-2,"Prior Day Cases Per 10,000 Residents",age_0_1-2,age_0_1-1,white_pop-1,up_county,age_25_49,age_65_74,age_0_1,age_65_74-1,asian_pi_pop,age_65_74-2,age_75_up-1,"Prior Day Cases Per 100,000 Residents",age_2_4,age_75_up-2,asian_pi_pop-1,asian_pi_pop-2,"Last 7 Days Cases Per 100,000 Residents",age_15_17,Last 7 Day Cases,white_pop-2,Last 14 Days Cases,"Last 7 Days Cases Per 10,000 Residents",black_pop-1,black_pop-2,female_pop,nonhisp_pop-2,nonhisp_pop-1,male_pop,ai_an_pop-1,ai_an_pop-2,age_10_14,hispanic_pop,age_75_up,age_0_17,ai_an_pop,County,hispanic_pop-2,age_15_17-2,age_15_17-1,age_5_9,hispanic_pop-1,age_50_64,age_25_49-2,age_25_49-1,age_5_9-2,age_18_24,age_5_9-1,white_pop,"Last 14 Days Cases Per 10,000 Residents","Last 14 Days Cases Per 100,000 Residents",Prior Day Cases,age_0_17-1,age_0_17-2,age_10_14-2,age_10_14-1,age_2_4-2,age_50_64-1,age_50_64-2,age_2_4-1,nonhisp_pop,black_pop
111563.0,122910.0,111563.0,122910.0,29390.0,29390.0,2.0,4386.0,4386.0,195508.0,NEW HANOVER COUNTY,74725.0,26066.0,4386.0,26066.0,4460.0,26066.0,17081.0,22.0,6724.0,17081.0,4460.0,4460.0,122.0,7412.0,287,195508.0,679,12.0,33034.0,33034.0,122910.0,220863.0,220863.0,111563.0,1471.0,1471.0,12399.0,13610.0,17081.0,42661.0,1471.0,New Hanover,13610.0,7412.0,7412.0,11740.0,13610.0,44550.0,74725.0,74725.0,11740.0,29390.0,11740.0,195508.0,29.0,290.0,51,42661.0,42661.0,12399.0,12399.0,6724.0,44550.0,44550.0,6724.0,220863.0,33034.0
34955.0,36828.0,34955.0,36828.0,5614.0,5614.0,1.0,1482.0,1482.0,67277.0,SURRY COUNTY,20806.0,8532.0,1482.0,8532.0,681.0,8532.0,6432.0,11.0,2322.0,6432.0,681.0,681.0,82.0,2747.0,59,67277.0,137,8.0,3330.0,3330.0,36828.0,63820.0,63820.0,34955.0,495.0,495.0,4478.0,7963.0,6432.0,14972.0,495.0,Surry,7963.0,2747.0,2747.0,3943.0,7963.0,15427.0,20806.0,20806.0,3943.0,5614.0,3943.0,67277.0,19.0,191.0,8,14972.0,14972.0,4478.0,4478.0,2322.0,15427.0,15427.0,2322.0,63820.0,3330.0
62923.0,67702.0,62923.0,67702.0,13200.0,13200.0,1.0,3318.0,3318.0,41004.0,ROBESON COUNTY,40072.0,12776.0,3318.0,12776.0,1172.0,12776.0,7789.0,14.0,5259.0,7789.0,1172.0,1172.0,107.0,5218.0,140,41004.0,326,11.0,31768.0,31768.0,67702.0,118577.0,118577.0,62923.0,56681.0,56681.0,9360.0,12048.0,7789.0,32200.0,56681.0,Robeson,12048.0,5218.0,5218.0,9045.0,12048.0,24588.0,40072.0,40072.0,9045.0,13200.0,9045.0,41004.0,25.0,250.0,18,32200.0,32200.0,9360.0,9360.0,5259.0,24588.0,24588.0,5259.0,118577.0,31768.0
19093.0,20397.0,19093.0,20397.0,2913.0,2913.0,3.0,841.0,841.0,27945.0,PERSON COUNTY,11585.0,4743.0,841.0,4743.0,211.0,4743.0,3195.0,28.0,1244.0,3195.0,211.0,211.0,167.0,1497.0,66,27945.0,127,17.0,10974.0,10974.0,20397.0,37705.0,37705.0,19093.0,360.0,360.0,2337.0,1785.0,3195.0,8129.0,360.0,Person,1785.0,1497.0,1497.0,2210.0,1785.0,8925.0,11585.0,11585.0,2210.0,2913.0,2210.0,27945.0,32.0,322.0,11,8129.0,8129.0,2337.0,2337.0,1244.0,8925.0,8925.0,1244.0,37705.0,10974.0
80533.0,88976.0,80533.0,88976.0,17888.0,17888.0,2.0,4006.0,4006.0,126697.0,ALAMANCE COUNTY,51738.0,16352.0,4006.0,16352.0,3416.0,16352.0,12683.0,24.0,5943.0,12683.0,3416.0,3416.0,140.0,6471.0,238,126697.0,511,14.0,36814.0,36814.0,88976.0,147379.0,147379.0,80533.0,2582.0,2582.0,10702.0,22130.0,12683.0,37364.0,2582.0,Alamance,22130.0,6471.0,6471.0,10242.0,22130.0,33484.0,51738.0,51738.0,10242.0,17888.0,10242.0,126697.0,30.0,301.0,40,37364.0,37364.0,10702.0,10702.0,5943.0,33484.0,33484.0,5943.0,147379.0,36814.0
38783.0,43018.0,38783.0,43018.0,7081.0,7081.0,1.0,1924.0,1924.0,46204.0,WILSON COUNTY,24315.0,9062.0,1924.0,9062.0,1221.0,9062.0,6275.0,15.0,2905.0,6275.0,1221.0,1221.0,163.0,3262.0,133,46204.0,298,16.0,33787.0,33787.0,43018.0,72982.0,72982.0,38783.0,589.0,589.0,5481.0,8819.0,6275.0,18577.0,589.0,Wilson,8819.0,3262.0,3262.0,5005.0,8819.0,16491.0,24315.0,24315.0,5005.0,7081.0,5005.0,46204.0,36.0,364.0,12,18577.0,18577.0,5481.0,5481.0,2905.0,16491.0,16491.0,2905.0,72982.0,33787.0
118155.0,121704.0,118155.0,121704.0,22138.0,22138.0,2.0,4957.0,4957.0,197444.0,UNION COUNTY,75448.0,19160.0,4957.0,19160.0,9443.0,19160.0,12074.0,23.0,8394.0,12074.0,9443.0,9443.0,134.0,12928.0,321,197444.0,695,13.0,31275.0,31275.0,121704.0,212344.0,212344.0,118155.0,1697.0,1697.0,20221.0,27515.0,12074.0,63243.0,1697.0,Union,27515.0,12928.0,12928.0,16743.0,27515.0,47796.0,75448.0,75448.0,16743.0,22138.0,16743.0,197444.0,29.0,290.0,55,63243.0,63243.0,20221.0,20221.0,8394.0,47796.0,47796.0,8394.0,212344.0,31275.0
42751.0,43360.0,42751.0,43360.0,6250.0,6250.0,5.0,1711.0,1711.0,79516.0,LINCOLN COUNTY,26543.0,9543.0,1711.0,9543.0,865.0,9543.0,5913.0,55.0,2737.0,5913.0,865.0,865.0,157.0,3376.0,135,79516.0,271,16.0,5290.0,5290.0,43360.0,79631.0,79631.0,42751.0,440.0,440.0,5371.0,6480.0,5913.0,18130.0,440.0,Lincoln,6480.0,3376.0,3376.0,4935.0,6480.0,19732.0,26543.0,26543.0,4935.0,6250.0,4935.0,79516.0,31.0,315.0,47,18130.0,18130.0,5371.0,5371.0,2737.0,19732.0,19732.0,2737.0,79631.0,5290.0
26737.0,29212.0,26737.0,29212.0,4445.0,4445.0,1.0,1246.0,1246.0,31354.0,LENOIR COUNTY,15782.0,6541.0,1246.0,6541.0,577.0,6541.0,4762.0,14.0,1902.0,4762.0,577.0,577.0,105.0,2183.0,59,31354.0,136,11.0,23620.0,23620.0,29212.0,51527.0,51527.0,26737.0,398.0,398.0,3772.0,4422.0,4762.0,12526.0,398.0,Lenoir,4422.0,2183.0,2183.0,3423.0,4422.0,11893.0,15782.0,15782.0,3423.0,4445.0,3423.0,31354.0,24.0,243.0,8,12526.0,12526.0,3772.0,3772.0,1902.0,11893.0,11893.0,1902.0,51527.0,23620.0
5459.0,5772.0,5459.0,5772.0,657.0,657.0,2.0,184.0,184.0,10892.0,CLAY COUNTY,2578.0,2143.0,184.0,2143.0,62.0,2143.0,1438.0,18.0,307.0,1438.0,62.0,62.0,53.0,358.0,6,10892.0,11,5.0,198.0,198.0,5772.0,10797.0,10797.0,5459.0,79.0,79.0,555.0,434.0,1438.0,1879.0,79.0,Clay,434.0,358.0,358.0,475.0,434.0,2536.0,2578.0,2578.0,475.0,657.0,475.0,10892.0,10.0,98.0,2,1879.0,1879.0,555.0,555.0,307.0,2536.0,2536.0,307.0,10797.0,198.0
22798.0,22958.0,22798.0,22958.0,3381.0,3381.0,0.0,881.0,881.0,42691.0,MCDOWELL COUNTY,13806.0,5591.0,881.0,5591.0,528.0,5591.0,3926.0,2.0,1401.0,3926.0,528.0,528.0,136.0,1619.0,62,42691.0,135,14.0,2142.0,2142.0,22958.0,42836.0,42836.0,22798.0,395.0,395.0,2786.0,2920.0,3926.0,9139.0,395.0,McDowell,2920.0,1619.0,1619.0,2452.0,2920.0,9913.0,13806.0,13806.0,2452.0,3381.0,2452.0,42691.0,30.0,295.0,1,9139.0,9139.0,2786.0,2786.0,1401.0,9913.0,9913.0,1401.0,42836.0,2142.0
81991.0,85618.0,81991.0,85618.0,12768.0,12768.0,1.0,3506.0,3506.0,145390.0,DAVIDSON COUNTY,50744.0,18239.0,3506.0,18239.0,3065.0,18239.0,12850.0,14.0,5694.0,12850.0,3065.0,3065.0,86.0,6596.0,144,145390.0,313,9.0,17715.0,17715.0,85618.0,155159.0,155159.0,81991.0,1439.0,1439.0,10836.0,12450.0,12850.0,36324.0,1439.0,Davidson,12450.0,6596.0,6596.0,9692.0,12450.0,36684.0,50744.0,50744.0,9692.0,12768.0,9692.0,145390.0,19.0,187.0,23,36324.0,36324.0,10836.0,10836.0,5694.0,36684.0,36684.0,5694.0,155159.0,17715.0
31355.0,31451.0,31355.0,31451.0,5084.0,5084.0,2.0,1404.0,1404.0,53519.0,STANLY COUNTY,19067.0,7022.0,1404.0,7022.0,1470.0,7022.0,5101.0,24.0,2224.0,5101.0,1470.0,1470.0,164.0,2342.0,103,53519.0,225,16.0,7516.0,7516.0,31451.0,60020.0,60020.0,31355.0,301.0,301.0,3914.0,2786.0,5101.0,13524.0,301.0,Stanly,2786.0,2342.0,2342.0,3640.0,2786.0,13008.0,19067.0,19067.0,3640.0,5084.0,3640.0,53519.0,36.0,358.0,15,13524.0,13524.0,3914.0,3914.0,2224.0,13008.0,13008.0,2224.0,60020.0,7516.0
30141.0,31638.0,30141.0,31638.0,5032.0,5032.0,1.0,1559.0,1559.0,46914.0,LEE COUNTY,19335.0,6091.0,1559.0,6091.0,1052.0,6091.0,4313.0,6.0,2327.0,4313.0,1052.0,1052.0,60.0,2437.0,37,46914.0,90,6.0,12917.0,12917.0,31638.0,49674.0,49674.0,30141.0,896.0,896.0,4252.0,12105.0,4313.0,14643.0,896.0,Lee,12105.0,2437.0,2437.0,4068.0,12105.0,12365.0,19335.0,19335.0,4068.0,5032.0,4068.0,46914.0,15.0,146.0,4,14643.0,14643.0,4252.0,4252.0,2327.0,12365.0,12365.0,2327.0,49674.0,12917.0
35617.0,38853.0,35617.0,38853.0,4656.0,4656.0,1.0,1375.0,1375.0,61972.0,CHATHAM COUNTY,20165.0,10562.0,1375.0,10562.0,1886.0,10562.0,8072.0,13.0,2198.0,8072.0,1886.0,1886.0,95.0,2731.0,71,61972.0,110,10.0,9711.0,9711.0,38853.0,65444.0,65444.0,35617.0,901.0,901.0,4557.0,9026.0,8072.0,14809.0,901.0,Chatham,9026.0,2731.0,2731.0,3948.0,9026.0,16206.0,20165.0,20165.0,3948.0,4656.0,3948.0,61972.0,15.0,148.0,10,14809.0,14809.0,4557.0,4557.0,2198.0,16206.0,16206.0,2198.0,65444.0,9711.0
10544.0,11896.0,10544.0,11896.0,1572.0,1572.0,0.0,496.0,496.0,12510.0,MARTIN COUNTY,5937.0,3173.0,496.0,3173.0,169.0,3173.0,2199.0,0.0,733.0,2199.0,169.0,169.0,49.0,763.0,11,12510.0,37,5.0,9631.0,9631.0,11896.0,21524.0,21524.0,10544.0,130.0,130.0,1314.0,916.0,2199.0,4523.0,130.0,Martin,916.0,763.0,763.0,1217.0,916.0,5036.0,5937.0,5937.0,1217.0,1572.0,1217.0,12510.0,16.0,165.0,0,4523.0,4523.0,1314.0,1314.0,733.0,5036.0,5036.0,733.0,21524.0,9631.0
2267.0,1749.0,2267.0,1749.0,298.0,298.0,0.0,76.0,76.0,2313.0,TYRRELL COUNTY,1365.0,432.0,76.0,432.0,82.0,432.0,378.0,0.0,113.0,378.0,82.0,82.0,0.0,111.0,0,2313.0,4,0.0,1583.0,1583.0,1749.0,3640.0,3640.0,2267.0,38.0,38.0,226.0,376.0,378.0,728.0,38.0,Tyrrell,376.0,111.0,111.0,202.0,376.0,815.0,1365.0,1365.0,202.0,298.0,202.0,2313.0,10.0,100.0,0,728.0,728.0,226.0,226.0,113.0,815.0,815.0,113.0,3640.0,1583.0
11540.0,9529.0,11540.0,9529.0,1782.0,1782.0,-1.0,440.0,440.0,12511.0,GREENE COUNTY,7248.0,2219.0,440.0,2219.0,184.0,2219.0,1373.0,-9.0,607.0,1373.0,184.0,184.0,43.0,707.0,9,12511.0,22,4.0,7891.0,7891.0,9529.0,17761.0,17761.0,11540.0,483.0,483.0,1291.0,3308.0,1373.0,4185.0,483.0,Greene,3308.0,707.0,707.0,1140.0,3308.0,4262.0,7248.0,7248.0,1140.0,1782.0,1140.0,12511.0,10.0,104.0,-2,4185.0,4185.0,1291.0,1291.0,607.0,4262.0,4262.0,607.0,17761.0,7891.0
166439.0,169070.0,166439.0,169070.0,44179.0,44179.0,1.0,10538.0,10538.0,177124.0,CUMBERLAND COUNTY,114650.0,24275.0,10538.0,24275.0,12184.0,24275.0,16662.0,10.0,14719.0,16662.0,12184.0,12184.0,113.0,12391.0,380,177124.0,801,11.0,139075.0,139075.0,169070.0,294937.0,294937.0,166439.0,7126.0,7126.0,21712.0,40572.0,16662.0,82854.0,7126.0,Cumberland,40572.0,12391.0,12391.0,23494.0,40572.0,52889.0,114650.0,114650.0,23494.0,44179.0,23494.0,177124.0,24.0,239.0,32,82854.0,82854.0,21712.0,21712.0,14719.0,52889.0,52889.0,14719.0,294937.0,139075.0
5468.0,6112.0,5468.0,6112.0,852.0,852.0,2.0,243.0,243.0,5598.0,WASHINGTON COUNTY,2875.0,1698.0,243.0,1698.0,52.0,1698.0,1234.0,17.0,352.0,1234.0,52.0,52.0,69.0,400.0,8,5598.0,24,7.0,5816.0,5816.0,6112.0,10927.0,10927.0,5468.0,114.0,114.0,675.0,653.0,1234.0,2306.0,114.0,Washington,653.0,400.0,400.0,636.0,653.0,2615.0,2875.0,2875.0,636.0,852.0,636.0,5598.0,21.0,207.0,2,2306.0,2306.0,675.0,675.0,352.0,2615.0,2615.0,352.0,10927.0,5816.0
5426.0,5441.0,5426.0,5441.0,725.0,725.0,1.0,208.0,208.0,9161.0,CAMDEN COUNTY,3468.0,1055.0,208.0,1055.0,256.0,1055.0,778.0,9.0,332.0,778.0,256.0,256.0,101.0,452.0,11,9161.0,27,10.0,1385.0,1385.0,5441.0,10540.0,10540.0,5426.0,65.0,65.0,781.0,327.0,778.0,2460.0,65.0,Camden,327.0,452.0,452.0,687.0,327.0,2381.0,3468.0,3468.0,687.0,725.0,687.0,9161.0,25.0,248.0,1,2460.0,2460.0,781.0,781.0,332.0,2381.0,2381.0,332.0,10540.0,1385.0
7392.0,7572.0,7392.0,7572.0,944.0,944.0,1.0,283.0,283.0,14504.0,MITCHELL COUNTY,4164.0,2145.0,283.0,2145.0,134.0,2145.0,1665.0,7.0,439.0,1665.0,134.0,134.0,167.0,493.0,25,14504.0,31,17.0,181.0,181.0,7572.0,14041.0,14041.0,7392.0,145.0,145.0,800.0,923.0,1665.0,2735.0,145.0,Mitchell,923.0,493.0,493.0,720.0,923.0,3311.0,4164.0,4164.0,720.0,944.0,720.0,14504.0,21.0,207.0,1,2735.0,2735.0,800.0,800.0,439.0,3311.0,3311.0,439.0,14041.0,181.0
540765.0,570996.0,540765.0,570996.0,100823.0,100823.0,2.0,25883.0,25883.0,768917.0,WAKE COUNTY,411746.0,83002.0,25883.0,83002.0,89941.0,83002.0,50862.0,20.0,41353.0,50862.0,89941.0,89941.0,113.0,46082.0,1255,768917.0,2617,11.0,243367.0,243367.0,570996.0,996230.0,996230.0,540765.0,9536.0,9536.0,77083.0,115531.0,50862.0,262706.0,9536.0,Wake,115531.0,46082.0,46082.0,72305.0,115531.0,202622.0,411746.0,411746.0,72305.0,100823.0,72305.0,768917.0,24.0,235.0,217,262706.0,262706.0,77083.0,77083.0,41353.0,202622.0,202622.0,41353.0,996230.0,243367.0
31245.0,32286.0,31245.0,32286.0,5262.0,5262.0,2.0,1652.0,1652.0,42923.0,SAMPSON COUNTY,18665.0,6729.0,1652.0,6729.0,639.0,6729.0,4908.0,17.0,2490.0,4908.0,639.0,639.0,181.0,2730.0,115,42923.0,360,18.0,17429.0,17429.0,32286.0,50474.0,50474.0,31245.0,2540.0,2540.0,4385.0,13057.0,4908.0,15450.0,2540.0,Sampson,13057.0,2730.0,2730.0,4193.0,13057.0,12517.0,18665.0,18665.0,4193.0,5262.0,4193.0,42923.0,57.0,567.0,11,15450.0,15450.0,4385.0,4385.0,2490.0,12517.0,12517.0,2490.0,50474.0,17429.0
6632.0,7311.0,6632.0,7311.0,960.0,960.0,1.0,280.0,280.0,8818.0,CHOWAN COUNTY,3642.0,2019.0,280.0,2019.0,155.0,2019.0,1502.0,14.0,420.0,1502.0,155.0,155.0,50.0,504.0,7,8818.0,30,5.0,4904.0,4904.0,7311.0,13421.0,13421.0,6632.0,66.0,66.0,832.0,522.0,1502.0,2779.0,66.0,Chowan,522.0,504.0,504.0,743.0,522.0,3041.0,3642.0,3642.0,743.0,960.0,743.0,8818.0,22.0,215.0,2,2779.0,2779.0,832.0,832.0,420.0,3041.0,3041.0,420.0,13421.0,4904.0
47093.0,50854.0,47093.0,50854.0,8645.0,8645.0,3.0,2234.0,2234.0,75205.0,CLEVELAND COUNTY,28635.0,11078.0,2234.0,11078.0,1155.0,11078.0,7497.0,33.0,3348.0,7497.0,1155.0,1155.0,156.0,3728.0,153,75205.0,326,16.0,21187.0,21187.0,50854.0,94257.0,94257.0,47093.0,400.0,400.0,6343.0,3690.0,7497.0,21443.0,400.0,Cleveland,3690.0,3728.0,3728.0,5790.0,3690.0,20649.0,28635.0,28635.0,5790.0,8645.0,5790.0,75205.0,33.0,333.0,32,21443.0,21443.0,6343.0,6343.0,3348.0,20649.0,20649.0,3348.0,94257.0,21187.0
22322.0,24672.0,22322.0,24672.0,3257.0,3257.0,2.0,904.0,904.0,34185.0,BEAUFORT COUNTY,12689.0,6902.0,904.0,6902.0,318.0,6902.0,4636.0,17.0,1355.0,4636.0,318.0,318.0,106.0,1766.0,50,34185.0,105,11.0,11994.0,11994.0,24672.0,43225.0,43225.0,22322.0,497.0,497.0,2749.0,3769.0,4636.0,9325.0,497.0,Beaufort,3769.0,1766.0,1766.0,2551.0,3769.0,10185.0,12689.0,12689.0,2551.0,3257.0,2551.0,34185.0,22.0,223.0,8,9325.0,9325.0,2749.0,2749.0,1355.0,10185.0,10185.0,1355.0,43225.0,11994.0
20780.0,23755.0,20780.0,23755.0,3771.0,3771.0,3.0,1125.0,1125.0,20309.0,VANCE COUNTY,12839.0,4992.0,1125.0,4992.0,394.0,4992.0,3495.0,34.0,1630.0,3495.0,394.0,394.0,168.0,1775.0,75,20309.0,209,17.0,23356.0,23356.0,23755.0,40860.0,40860.0,20780.0,476.0,476.0,3006.0,3675.0,3495.0,10443.0,476.0,Vance,3675.0,1775.0,1775.0,2907.0,3675.0,8995.0,12839.0,12839.0,2907.0,3771.0,2907.0,20309.0,47.0,469.0,15,10443.0,10443.0,3006.0,3006.0,1630.0,8995.0,8995.0,1630.0,40860.0,23356.0
20922.0,21924.0,20922.0,21924.0,3136.0,3136.0,2.0,784.0,784.0,39074.0,DAVIE COUNTY,11973.0,5229.0,784.0,5229.0,421.0,5229.0,4050.0,16.0,1302.0,4050.0,421.0,421.0,145.0,1717.0,62,39074.0,100,14.0,3047.0,3047.0,21924.0,39739.0,39739.0,20922.0,304.0,304.0,2694.0,3107.0,4050.0,8945.0,304.0,Davie,3107.0,1717.0,1717.0,2448.0,3107.0,9513.0,11973.0,11973.0,2448.0,3136.0,2448.0,39074.0,23.0,233.0,7,8945.0,8945.0,2694.0,2694.0,1302.0,9513.0,9513.0,1302.0,39739.0,3047.0
31400.0,31660.0,31400.0,31660.0,4295.0,4295.0,2.0,1342.0,1342.0,52106.0,PENDER COUNTY,19378.0,7251.0,1342.0,7251.0,561.0,7251.0,4465.0,21.0,2236.0,4465.0,561.0,561.0,151.0,2446.0,95,52106.0,213,15.0,9744.0,9744.0,31660.0,58318.0,58318.0,31400.0,649.0,649.0,4104.0,4742.0,4465.0,14002.0,649.0,Pender,4742.0,2446.0,2446.0,3874.0,4742.0,13669.0,19378.0,19378.0,3874.0,4295.0,3874.0,52106.0,34.0,338.0,13,14002.0,14002.0,4104.0,4104.0,2236.0,13669.0,13669.0,2236.0,58318.0,9744.0
27992.0,28185.0,27992.0,28185.0,15618.0,15618.0,2.0,777.0,777.0,53924.0,WATAUGA COUNTY,14517.0,5645.0,777.0,5645.0,736.0,5645.0,3584.0,20.0,1092.0,3584.0,736.0,736.0,157.0,1210.0,88,53924.0,175,16.0,1259.0,1259.0,28185.0,53916.0,53916.0,27992.0,258.0,258.0,2157.0,2261.0,3584.0,7155.0,258.0,Watauga,2261.0,1210.0,1210.0,1919.0,2261.0,9658.0,14517.0,14517.0,1919.0,15618.0,1919.0,53924.0,31.0,312.0,11,7155.0,7155.0,2157.0,2157.0,1092.0,9658.0,9658.0,1092.0,53916.0,1259.0
4220.0,4221.0,4220.0,4221.0,600.0,600.0,0.0,155.0,155.0,7577.0,GRAHAM COUNTY,2307.0,1100.0,155.0,1100.0,61.0,1100.0,967.0,0.0,246.0,967.0,61.0,61.0,24.0,322.0,2,7577.0,11,2.0,91.0,91.0,4221.0,8125.0,8125.0,4220.0,712.0,712.0,510.0,316.0,967.0,1674.0,712.0,Graham,316.0,322.0,322.0,441.0,316.0,1793.0,2307.0,2307.0,441.0,600.0,441.0,7577.0,13.0,130.0,0,1674.0,1674.0,510.0,510.0,246.0,1793.0,1793.0,246.0,8125.0,91.0
