Facility_Type,Category,County,Outbreak Count
K-12 School,,Scotland,2
Correctional Facility,Ongoing Outbreaks,Scotland,1
,,Hyde,0
,,Nash,0
Nursing Home,Ongoing Outbreaks,Wayne,2
Nursing Home,Ongoing Outbreaks,Madison,1
,,Tyrrell,0
Nursing Home,Ongoing Outbreaks,Forsyth,3
Child Care,,Forsyth,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
K-12 School,,Rockingham,1
Nursing Home,Ongoing Outbreaks,Rockingham,4
Residential Care Facility,Ongoing Outbreaks,Rockingham,1
Child Care,,Wake,3
Correctional Facility,Ongoing Outbreaks,Wake,5
K-12 School,,Wake,3
Residential Care Facility,Ongoing Outbreaks,Wake,4
Nursing Home,Ongoing Outbreaks,Wake,3
Nursing Home,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Cumberland,2
Nursing Home,Ongoing Outbreaks,Cumberland,6
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Child Care,,Cumberland,2
Correctional Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Halifax,1
Residential Care Facility,Ongoing Outbreaks,Pitt,1
Nursing Home,Ongoing Outbreaks,Pitt,3
K-12 School,,Union,1
Nursing Home,Ongoing Outbreaks,Union,2
,,Jones,0
Residential Care Facility,Ongoing Outbreaks,Yancey,1
K-12 School,,Richmond,1
Child Care,,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Residential Care Facility,Ongoing Outbreaks,Richmond,1
,,Warren,0
Residential Care Facility,Ongoing Outbreaks,Buncombe,1
Correctional Facility,Ongoing Outbreaks,Buncombe,1
K-12 School,,Buncombe,2
Nursing Home,Ongoing Outbreaks,Buncombe,7
Nursing Home,Ongoing Outbreaks,Currituck,1
Correctional Facility,Ongoing Outbreaks,Vance,1
Nursing Home,Ongoing Outbreaks,Vance,1
,,Avery,0
,,Graham,0
K-12 School,,Surry,1
Correctional Facility,Ongoing Outbreaks,Surry,1
Nursing Home,Ongoing Outbreaks,Surry,2
Other,Ongoing Outbreaks,Alleghany,1
K-12 School,,Alleghany,1
Nursing Home,Ongoing Outbreaks,Alleghany,1
Residential Care Facility,Ongoing Outbreaks,Durham,1
Child Care,,Durham,1
Nursing Home,Ongoing Outbreaks,Durham,4
Child Care,,Person,2
Nursing Home,Ongoing Outbreaks,Person,1
K-12 School,,Person,1
Correctional Facility,Ongoing Outbreaks,Alexander,1
Residential Care Facility,Ongoing Outbreaks,Catawba,1
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Correctional Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Haywood,2
Nursing Home,Ongoing Outbreaks,Ashe,1
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Nursing Home,Ongoing Outbreaks,Lee,2
Child Care,,Lee,1
Correctional Facility,Ongoing Outbreaks,Pamlico,1
,,Martin,0
Child Care,,Orange,1
Residential Care Facility,Ongoing Outbreaks,Orange,2
Correctional Facility,Ongoing Outbreaks,Beaufort,1
Nursing Home,Ongoing Outbreaks,Beaufort,1
Nursing Home,Ongoing Outbreaks,Cleveland,1
,,Mitchell,0
Nursing Home,Ongoing Outbreaks,Caldwell,2
Residential Care Facility,Ongoing Outbreaks,Davie,1
Nursing Home,Ongoing Outbreaks,Davie,2
Residential Care Facility,Ongoing Outbreaks,Montgomery,2
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Robeson,2
Nursing Home,Ongoing Outbreaks,Robeson,3
Correctional Facility,Ongoing Outbreaks,Robeson,3
Nursing Home,Ongoing Outbreaks,Washington,1
K-12 School,,Greene,1
Nursing Home,Ongoing Outbreaks,Greene,1
Residential Care Facility,Ongoing Outbreaks,Greene,1
Correctional Facility,Ongoing Outbreaks,Greene,2
,,Perquimans,0
K-12 School,,Transylvania,1
Correctional Facility,Ongoing Outbreaks,Harnett,2
Correctional Facility,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,McDowell,4
Nursing Home,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,Polk,1
Nursing Home,Ongoing Outbreaks,Polk,1
Residential Care Facility,Ongoing Outbreaks,Alamance,1
K-12 School,,Alamance,1
Correctional Facility,Ongoing Outbreaks,Caswell,2
Nursing Home,Ongoing Outbreaks,Caswell,1
Residential Care Facility,Ongoing Outbreaks,Caswell,1
Correctional Facility,Ongoing Outbreaks,Edgecombe,1
Nursing Home,Ongoing Outbreaks,Clay,1
Nursing Home,Ongoing Outbreaks,Lenoir,1
Residential Care Facility,Ongoing Outbreaks,Lenoir,3
Child Care,,Onslow,2
K-12 School,,Onslow,2
Residential Care Facility,Ongoing Outbreaks,Onslow,1
Nursing Home,Ongoing Outbreaks,Onslow,1
K-12 School,,Yadkin,3
Nursing Home,Ongoing Outbreaks,Yadkin,2
Nursing Home,Ongoing Outbreaks,Carteret,1
Correctional Facility,Ongoing Outbreaks,Carteret,1
Correctional Facility,Ongoing Outbreaks,Craven,2
Nursing Home,Ongoing Outbreaks,Craven,1
Nursing Home,Ongoing Outbreaks,Northampton,1
Residential Care Facility,Ongoing Outbreaks,Sampson,1
K-12 School,,Moore,1
Child Care,,Moore,1
K-12 School,,Dare,1
Child Care,,Mecklenburg,3
Nursing Home,Ongoing Outbreaks,Mecklenburg,8
Other,Ongoing Outbreaks,Mecklenburg,1
Residential Care Facility,Ongoing Outbreaks,Mecklenburg,4
Nursing Home,Ongoing Outbreaks,Randolph,5
K-12 School,,Brunswick,1
Nursing Home,Ongoing Outbreaks,Brunswick,1
Residential Care Facility,Ongoing Outbreaks,Brunswick,1
Residential Care Facility,Ongoing Outbreaks,Granville,1
Correctional Facility,Ongoing Outbreaks,Granville,2
Nursing Home,Ongoing Outbreaks,Granville,1
,,Bertie,0
K-12 School,,Iredell,3
Nursing Home,Ongoing Outbreaks,Iredell,1
K-12 School,,New Hanover,2
Child Care,,New Hanover,1
Nursing Home,Ongoing Outbreaks,New Hanover,1
Correctional Facility,Ongoing Outbreaks,New Hanover,2
Residential Care Facility,Ongoing Outbreaks,New Hanover,2
K-12 School,,Pasquotank,1
Residential Care Facility,Ongoing Outbreaks,Pasquotank,1
Nursing Home,Ongoing Outbreaks,Chatham,1
Correctional Facility,Ongoing Outbreaks,Franklin,2
Nursing Home,Ongoing Outbreaks,Franklin,1
Residential Care Facility,Ongoing Outbreaks,Johnston,1
Nursing Home,Ongoing Outbreaks,Johnston,3
K-12 School,,Rowan,1
Nursing Home,Ongoing Outbreaks,Rowan,1
Correctional Facility,Ongoing Outbreaks,Rowan,1
Residential Care Facility,Ongoing Outbreaks,Rowan,3
Nursing Home,Ongoing Outbreaks,Bladen,1
Child Care,,Guilford,2
Residential Care Facility,Ongoing Outbreaks,Guilford,5
Nursing Home,Ongoing Outbreaks,Guilford,8
Other,Ongoing Outbreaks,Guilford,1
Residential Care Facility,Ongoing Outbreaks,Jackson,1
,,Camden,0
Child Care,,Watauga,1
Nursing Home,Ongoing Outbreaks,Watauga,1
Correctional Facility,Ongoing Outbreaks,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Watauga,1
Nursing Home,Ongoing Outbreaks,Burke,1
Residential Care Facility,Ongoing Outbreaks,Burke,2
Nursing Home,Ongoing Outbreaks,Stokes,1
K-12 School,,Stokes,1
Residential Care Facility,Ongoing Outbreaks,Stokes,1
Nursing Home,Ongoing Outbreaks,Anson,1
Correctional Facility,Ongoing Outbreaks,Anson,1
Child Care,,Anson,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
Residential Care Facility,Ongoing Outbreaks,Gaston,1
Nursing Home,Ongoing Outbreaks,Gaston,2
K-12 School,,Gaston,1
Nursing Home,Ongoing Outbreaks,Stanly,1
Correctional Facility,Ongoing Outbreaks,Stanly,1
Residential Care Facility,Ongoing Outbreaks,Lincoln,1
Residential Care Facility,Ongoing Outbreaks,Pender,1
Correctional Facility,Ongoing Outbreaks,Pender,2
K-12 School,,Pender,1
Nursing Home,Ongoing Outbreaks,Pender,2
Correctional Facility,Ongoing Outbreaks,Swain,1
Nursing Home,Ongoing Outbreaks,Swain,1
Nursing Home,Ongoing Outbreaks,Cabarrus,2
Correctional Facility,Ongoing Outbreaks,Cabarrus,1
K-12 School,,Cabarrus,3
K-12 School,,Davidson,1
Residential Care Facility,Ongoing Outbreaks,Davidson,1
Nursing Home,Ongoing Outbreaks,Davidson,3
Nursing Home,Ongoing Outbreaks,Henderson,1
Residential Care Facility,Ongoing Outbreaks,Henderson,1
Nursing Home,Ongoing Outbreaks,Hertford,1
Residential Care Facility,Ongoing Outbreaks,Hertford,1
Correctional Facility,Ongoing Outbreaks,Columbus,1
Residential Care Facility,Ongoing Outbreaks,Macon,2
Nursing Home,Ongoing Outbreaks,Macon,2
Nursing Home,Ongoing Outbreaks,Rutherford,1
Child Care,,Wilkes,1
Correctional Facility,Ongoing Outbreaks,Wilkes,1
Nursing Home,Ongoing Outbreaks,Wilkes,1
Residential Care Facility,Ongoing Outbreaks,Wilkes,1
